# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:50:45    801 mW   2120 mW      0 mW    995 mW   1045 mW   1084 mW     68 mW    328 mW      2 mW      2 mW      0 mW
  21:50:46    892 mW   2265 mW      0 mW   1103 mW   1086 mW   1219 mW     80 mW    346 mW      2 mW      2 mW      0 mW
  21:50:46    847 mW   3199 mW      0 mW   1033 mW   1085 mW   1135 mW     73 mW    321 mW      2 mW      2 mW      0 mW
  21:50:46    911 mW   2536 mW      0 mW   1195 mW   1197 mW   1398 mW     78 mW    339 mW      2 mW      2 mW      0 mW
  21:50:47    758 mW   3157 mW      0 mW   1063 mW   1113 mW   1231 mW     68 mW    316 mW      2 mW      0 mW      0 mW
  21:50:47    860 mW   2259 mW      0 mW    994 mW   1021 mW   1060 mW     71 mW    334 mW      2 mW      2 mW      0 mW
  21:50:48    858 mW   2472 mW      0 mW   1135 mW   1196 mW   1371 mW     75 mW    326 mW      0 mW      2 mW      0 mW
  21:50:48    877 mW   2089 mW      0 mW   1047 mW   1074 mW   1215 mW     75 mW    328 mW      2 mW      2 mW      0 mW
  21:50:49    815 mW   2343 mW      0 mW   1062 mW   1076 mW   1240 mW     74 mW    335 mW      2 mW      2 mW      0 mW
  21:50:49    820 mW   2134 mW      0 mW    945 mW    990 mW   1012 mW     69 mW    324 mW      2 mW      2 mW      0 mW
  21:50:50    869 mW   3181 mW      0 mW   1161 mW   1195 mW   1331 mW     76 mW    336 mW      2 mW      2 mW      0 mW
  21:50:50    874 mW   2150 mW      0 mW   1053 mW   1113 mW   1199 mW     74 mW    325 mW      2 mW      2 mW      0 mW
