monotonic_ns,phase
28258049330500,attempt_0_start
28264783008250,attempt_0_end
28264783077458,gap_0_to_1
28266787148416,attempt_1_start
28272261694750,attempt_1_end
28272261749375,gap_1_to_2
28274265878833,attempt_2_start
28279692183041,attempt_2_end
28279692241083,gap_2_to_3
28281697284416,attempt_3_start
28287137307666,attempt_3_end
28287137347333,gap_3_to_4
28289141025375,attempt_4_start
28294586465541,attempt_4_end
28294586511583,stopped
