# IOReport telemetry  interval=100ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:46:34    914 mW   2767 mW      0 mW   1142 mW   1389 mW   1596 mW     76 mW    319 mW      4 mW      0 mW      0 mW
  21:46:34    893 mW   3051 mW      0 mW   1179 mW   1319 mW   1526 mW     81 mW    335 mW      0 mW      4 mW      0 mW
  21:46:34    911 mW   3104 mW      0 mW   1233 mW   1372 mW   1685 mW     76 mW    327 mW      4 mW      0 mW      0 mW
  21:46:35    884 mW   2974 mW      0 mW   1187 mW   1402 mW   1655 mW     79 mW    336 mW      0 mW      4 mW      0 mW
  21:46:35    768 mW   3065 mW      0 mW   1118 mW   1300 mW   1565 mW     66 mW    320 mW      4 mW      0 mW      0 mW
  21:46:35    861 mW   3219 mW      0 mW   1198 mW   1375 mW   1606 mW     74 mW    327 mW      0 mW      4 mW      0 mW
  21:46:35    922 mW   3481 mW      0 mW   1318 mW   1568 mW   1731 mW     80 mW    333 mW      4 mW      0 mW      0 mW
  21:46:36    930 mW   3212 mW      0 mW   1218 mW   1465 mW   1702 mW     79 mW    330 mW      0 mW      4 mW      0 mW
  21:46:36    861 mW   3227 mW      0 mW   1212 mW   1401 mW   1704 mW     78 mW    322 mW      4 mW      4 mW      0 mW
  21:46:36    940 mW   3164 mW      0 mW   1246 mW   1479 mW   1681 mW     75 mW    330 mW      0 mW      0 mW      0 mW
  21:46:37    920 mW   3371 mW      0 mW   1313 mW   1520 mW   1750 mW     85 mW    330 mW      4 mW      4 mW      0 mW
  21:46:37    979 mW   4238 mW      0 mW   1263 mW   1567 mW   1941 mW     74 mW    330 mW      4 mW      0 mW      0 mW
  21:46:37    971 mW   4459 mW      0 mW   1323 mW   1549 mW   1846 mW     82 mW    322 mW      0 mW      4 mW      0 mW
  21:46:37    915 mW   3278 mW      0 mW   1292 mW   1522 mW   1778 mW     82 mW    327 mW      4 mW      0 mW      0 mW
