# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:12:24    271 mW   2237 mW      0 mW    576 mW   1056 mW    949 mW     21 mW    337 mW      0 mW      2 mW      0 mW
  22:12:24    244 mW   2010 mW      0 mW    535 mW    991 mW    977 mW     19 mW    329 mW      2 mW      2 mW      0 mW
  22:12:25    251 mW   1882 mW      0 mW    481 mW    916 mW    844 mW     20 mW    316 mW      2 mW      2 mW      0 mW
  22:12:25    268 mW   2034 mW      0 mW    530 mW   1010 mW    930 mW     19 mW    342 mW      2 mW      2 mW      0 mW
  22:12:26    252 mW   1777 mW      0 mW    507 mW    946 mW    990 mW     19 mW    322 mW      2 mW      2 mW      0 mW
  22:12:26    259 mW   1784 mW      0 mW    491 mW    951 mW    946 mW     22 mW    315 mW      2 mW      0 mW      0 mW
  22:12:27    269 mW   1842 mW      0 mW    531 mW   1014 mW   1003 mW     19 mW    341 mW      2 mW      2 mW      0 mW
  22:12:27    264 mW   1841 mW      0 mW    524 mW    956 mW    975 mW     21 mW    326 mW      0 mW      2 mW      0 mW
  22:12:27    265 mW   1842 mW      0 mW    501 mW    946 mW    916 mW     21 mW    325 mW      2 mW      2 mW      0 mW
  22:12:28    262 mW   1773 mW      0 mW    496 mW    999 mW    907 mW     21 mW    332 mW      2 mW      2 mW      0 mW
  22:12:28    268 mW   1938 mW      0 mW    581 mW   1045 mW   1143 mW     19 mW    330 mW      2 mW      2 mW      0 mW
  22:12:29    239 mW   1767 mW      0 mW    492 mW    957 mW    915 mW     19 mW    323 mW      2 mW      2 mW      0 mW
  22:12:29    261 mW   1723 mW      0 mW    452 mW    923 mW    836 mW     20 mW    316 mW      2 mW      2 mW      0 mW
