# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:04:59    270 mW   2285 mW      0 mW    514 mW    971 mW   1262 mW     19 mW    326 mW      2 mW      2 mW      0 mW
  15:04:59    560 mW   4665 mW      0 mW    704 mW   1316 mW   1845 mW     43 mW    331 mW      0 mW      2 mW      0 mW
  15:05:00    243 mW   2755 mW      0 mW    510 mW    868 mW   1144 mW     32 mW    307 mW      2 mW      2 mW      0 mW
  15:05:00    158 mW   1672 mW      0 mW    413 mW    757 mW    884 mW     12 mW    332 mW      2 mW      0 mW      0 mW
  15:05:01    291 mW   2710 mW      0 mW    588 mW   1025 mW   1377 mW     22 mW    323 mW      2 mW      2 mW      0 mW
  15:05:01    472 mW   4605 mW      0 mW    688 mW   1285 mW   1804 mW     38 mW    324 mW      2 mW      2 mW      0 mW
  15:05:01    197 mW   2866 mW      0 mW    457 mW    813 mW    995 mW     19 mW    317 mW      2 mW      2 mW      0 mW
  15:05:02    141 mW   1650 mW      0 mW    389 mW    665 mW    851 mW     11 mW    305 mW      2 mW      2 mW      0 mW
  15:05:02    313 mW   2523 mW      0 mW    589 mW   1049 mW   1420 mW     22 mW    342 mW      0 mW      2 mW      0 mW
  15:05:03    810 mW   4810 mW      0 mW    668 mW   1275 mW   1800 mW     63 mW    326 mW      2 mW      2 mW      0 mW
  15:05:03    326 mW   3580 mW      0 mW    582 mW   1050 mW   1388 mW     35 mW    320 mW      2 mW      0 mW      0 mW
  15:05:04    122 mW   1640 mW      0 mW    394 mW    737 mW    845 mW     12 mW    313 mW      2 mW      2 mW      0 mW
  15:05:04    221 mW   1841 mW      0 mW    455 mW    824 mW    974 mW     14 mW    336 mW      2 mW      2 mW      0 mW
  15:05:04    737 mW   4687 mW      0 mW    673 mW   1273 mW   1793 mW     59 mW    319 mW      2 mW      2 mW      0 mW
  15:05:05    793 mW   4811 mW      0 mW    672 mW   1281 mW   1782 mW     68 mW    322 mW      2 mW      2 mW      0 mW
  15:05:05    271 mW   3209 mW      0 mW    478 mW    845 mW   1110 mW     29 mW    313 mW      0 mW      2 mW      0 mW
  15:05:06    153 mW   1612 mW      0 mW    397 mW    723 mW    781 mW      9 mW    328 mW      2 mW      2 mW      0 mW
  15:05:06    259 mW   1925 mW      0 mW    471 mW    852 mW   1061 mW     19 mW    324 mW      2 mW      0 mW      0 mW
  15:05:07    713 mW   4315 mW      0 mW    631 mW   1214 mW   1700 mW     63 mW    332 mW      2 mW      2 mW      0 mW
