sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,1.0,130185424888708,130185425448500,130185425462708,14208,67208,26417,669375,763000
1,1.0,130186431618125,130186434187250,130186434201958,14708,288959,99916,2513209,2902084
2,1.0,130187439859291,130187440562250,130187440573500,11250,88333,32167,743916,864416
3,1.0,130188445044666,130188446684916,130188446695958,11042,118041,39584,2163416,2321041
4,1.0,130189450025666,130189452123208,130189452136791,13583,282042,61583,1988167,2331792
5,1.0,130190458018458,130190460300041,130190460314000,13959,275500,77833,2176750,2530083
6,1.0,130191465982166,130191468337125,130191468356750,19625,296208,78375,2207958,2582541
7,1.0,130192474096791,130192476057500,130192476071875,14375,277750,63208,1890000,2230958
8,1.0,130193481037666,130193483254416,130193483271750,17334,270166,61959,2174416,2506541
9,1.0,130194487203541,130194489497291,130194489511000,13709,345375,81209,2106708,2533292
10,1.0,130195495320125,130195497825666,130195497841208,15542,361917,75458,2362000,2799375
11,1.0,130196504527083,130196506687708,130196506706708,19000,334583,43375,2029250,2407208
12,1.0,130197507760375,130197509874458,130197509894000,19542,281959,79333,2084042,2445334
13,1.0,130198511558083,130198514281416,130198514295583,14167,284666,68917,2739042,3092625
14,1.0,130199519013416,130199520994833,130199521011333,16500,241375,55125,1858375,2154875
15,1.0,130200521990500,130200523847000,130200523865625,18625,197708,43667,1843875,2085250
16,1.0,130201525224750,130201527381083,130201527396666,15583,264541,53875,2068125,2386541
17,1.0,130202532705875,130202534970666,130202534985708,15042,266833,61542,2170791,2499166
18,1.0,130203540737541,130203542773583,130203542788750,15167,277750,52125,1985708,2315583
19,1.0,130204549092750,130204551303250,130204551317958,14708,279625,91083,2215833,2586541
20,1.0,130205555690583,130205558255791,130205558271125,15334,228875,53541,2737625,3020041
21,1.0,130206563012541,130206564321125,130206564335083,13958,106750,22625,1386666,1516041
22,1.0,130207569785333,130207570502208,130207570518083,15875,112833,25417,778042,916292
23,1.0,130208575954125,130208576708791,130208576723000,14209,102583,30125,824917,957625
24,1.0,130209582100833,130209582766375,130209582781833,15458,107875,29500,739583,876958
25,1.0,130210588420250,130210589336625,130210589351083,14458,265458,59000,799125,1123583
26,1.0,130211590239791,130211591073708,130211591089791,16083,235583,39750,711834,987167
27,1.0,130212595398666,130212596951500,130212596962583,11083,87375,23833,1611792,1723000
28,1.0,130213599235166,130213599959291,130213599974791,15500,111375,27208,832417,971000
29,1.0,130214605474125,130214605829583,130214605840125,10542,98209,24625,421041,543875
30,1.0,130215609721708,130215610149291,130215610167333,18042,152291,34875,455792,642958
31,1.0,130216615631375,130216616319666,130216616334083,14417,107584,25500,764791,897875
32,1.0,130217621746000,130217622409458,130217622425791,16333,103667,22291,735459,861417
33,1.0,130218627853041,130218628608916,130218628623125,14209,114417,29167,839875,983459
34,1.0,130219634296125,130219635292041,130219635308458,16417,261583,58667,885958,1206208
35,1.0,130220639265666,130220640273208,130220640285333,12125,224791,62584,891750,1179125
36,1.0,130221641133416,130221641833541,130221641849500,15959,117333,22542,824916,964791
37,1.0,130222647774375,130222650044416,130222650059666,15250,283500,73875,2141875,2499250
38,1.0,130223652704750,130223653953791,130223653969541,15750,297417,93458,1093542,1484417
39,1.0,130224654937625,130224656137333,130224656151375,14042,325959,72125,1013458,1411542
40,1.0,130225659062250,130225660242625,130225660255875,13250,272000,74041,1116250,1462291
41,1.0,130226666004083,130226667232666,130226667248000,15334,278375,84208,1127875,1490458
42,1.0,130227673030041,130227674512291,130227674528333,16042,482625,53791,1231709,1768125
43,1.0,130228675328583,130228676167958,130228676182541,14583,113083,27542,930833,1071458
44,1.0,130229679349458,130229680592291,130229680607458,15167,289875,64750,1157375,1512000
45,1.0,130230681490333,130230683262166,130230683276791,14625,136542,26083,1841000,2003625
46,1.0,130231689083000,130231690268166,130231690284041,15875,265250,58667,1121958,1445875
47,1.0,130232696146208,130232698191416,130232698206041,14625,296791,68750,1917875,2283416
48,1.0,130233702137875,130233704146041,130233704166916,20875,286750,80709,1892958,2260417
49,1.0,130234705380375,130234707473750,130234707492541,18791,279917,56208,2029375,2365500
50,1.0,130235711398250,130235713529625,130235713545250,15625,268458,47875,2137292,2453625
51,1.0,130236715436958,130236717897833,130236717912041,14208,270375,50208,2512959,2833542
52,1.0,130237721980125,130237723944916,130237723964958,20042,259791,58209,1881083,2199083
53,1.0,130238731901625,130238734356208,130238734375833,19625,252833,315292,2085625,2653750
54,1.0,130239741646875,130239743766833,130239743787583,20750,247708,51334,2012208,2311250
55,1.0,130240748084541,130240750583708,130240750598125,14417,299375,75583,2432542,2807500
56,1.0,130241751776833,130241753930875,130241753946583,15708,301833,70250,2030958,2403041
57,1.0,130242754944708,130242756745916,130242756760125,14209,105709,18166,1875834,1999709
58,1.0,130243762349000,130243764350916,130243764371083,20167,262459,43708,1908833,2215000
59,1.0,130244765622958,130244767985125,130244768004500,19375,295084,66375,2273375,2634834
60,1.0,130245773693500,130245775761916,130245775782208,20292,275042,78000,1966667,2319709
61,1.0,130246778318500,130246780654833,130246780668250,13417,269292,93041,2271750,2634083
62,1.0,130247786242875,130247788074958,130247788091458,16500,125250,25833,1884250,2035333
63,1.0,130248793829208,130248796466041,130248796479708,13667,279209,105208,2615458,2999875
64,1.0,130249800854291,130249803100958,130249803116833,15875,253084,71458,2135417,2459959
65,1.0,130250804197416,130250806402375,130250806420875,18500,289333,89333,2059875,2438541
66,1.0,130251812195916,130251814473166,130251814489250,16084,371667,60583,2132500,2564750
67,1.0,130252820408708,130252822767791,130252822782625,14834,263833,91417,2223125,2578375
68,1.0,130253825079500,130253827254041,130253827273666,19625,214708,50333,2201292,2466333
69,1.0,130254832781291,130254835215500,130254835230416,14916,297750,76917,2275083,2649750
70,1.0,130255838342625,130255838728291,130255838740625,12334,110708,22917,419708,553333
71,1.0,130256840847416,130256841222583,130256841236958,14375,102167,21042,444291,567500
72,1.0,130257846893833,130257849256916,130257849278000,21084,301583,64667,2193292,2559542
73,1.0,130258851622166,130258853991875,130258854010625,18750,301417,55041,2255084,2611542
74,1.0,130259857317250,130259858239541,130259858254625,15084,232292,49083,875167,1156542
75,1.0,130260865040250,130260866394125,130260866408708,14583,258750,89792,1240083,1588625
76,1.0,130261872163333,130261873310125,130261873323791,13666,409291,48167,898375,1355833
77,1.0,130262875052625,130262875677125,130262875691625,14500,104458,24167,696791,825416
78,1.0,130263881364166,130263882521416,130263882534875,13459,350834,72333,979125,1402292
79,1.0,130264897873125,130264900249208,130264900263125,13917,271750,55875,2237292,2564917
80,1.0,130265906023458,130265907833708,130265907850208,16500,1013042,55667,993583,2062292
81,1.0,130266912589750,130266913618291,130266913633000,14709,279875,80834,1066166,1426875
82,1.0,130267915389541,130267916378833,130267916397166,18333,244125,68166,954834,1267125
83,1.0,130268922199250,130268923273416,130268923288125,14709,300208,76792,919083,1296083
84,1.0,130269924673750,130269927048250,130269927067166,18916,278334,88458,2274958,2641750
85,1.0,130270930661125,130270933082541,130270933101291,18750,289667,78541,2339625,2707833
86,1.0,130271935326708,130271937774375,130271937795458,21083,308291,92000,2312417,2712708
87,1.0,130272943321750,130272945626166,130272945641208,15042,277625,62500,2323000,2663125
88,1.0,130273951556833,130273953517208,130273953537125,19917,292334,69541,1852417,2214292
89,1.0,130274957634208,130274959699208,130274959714416,15208,265792,69791,1974667,2310250
90,1.0,130275963890458,130275966400666,130275966420333,19667,287583,83834,2417416,2788833
91,1.0,130276972323958,130276974680125,130276974694083,13958,272000,64375,2326541,2662916
92,1.0,130277975872000,130277977756375,130277977771708,15333,257542,46375,1821542,2125459
93,1.0,130278983593500,130278985637166,130278985651875,14709,271500,56625,1985375,2313500
94,1.0,130279988634083,130279990523833,130279990540791,16958,267834,66250,1789583,2123667
95,1.0,130280996452375,130280998814083,130280998829041,14958,379833,64417,2145666,2589916
96,1.0,130282004669166,130282006697791,130282006716833,19042,265000,73375,1923250,2261625
97,1.0,130283012597708,130283014760708,130283014775250,14542,281000,64125,2021834,2366959
98,1.0,130284020586541,130284022614958,130284022630958,16000,246000,69375,1939542,2254917
99,1.0,130285027338333,130285029323750,130285029338666,14916,271375,76625,1875167,2223167
100,1.0,130286030912083,130286033531916,130286033550916,19000,282750,90917,2550667,2924334
101,1.0,130287039327250,130287041527875,130287041542333,14458,273292,74875,2106500,2454667
102,1.0,130288047543875,130288048698125,130288048714583,16458,252625,62625,1064375,1379625
103,1.0,130289054117333,130289058280166,130289058294125,13959,246625,72625,4086000,4405250
104,1.0,130290064037000,130290066704708,130290066721041,16333,315625,60250,2533500,2909375
105,1.0,130291068559375,130291069187708,130291069201875,14167,96084,20708,711208,828000
106,1.0,130292074604791,130292075228791,130292075243791,15000,102916,24459,725458,852833
107,1.0,130293080687166,130293081354708,130293081368958,14250,103167,22250,760708,886125
108,1.0,130294087041375,130294089180500,130294089197166,16666,282666,79792,2019625,2382083
109,1.0,130295091860625,130295092756500,130295092771083,14583,233208,48625,799625,1081458
110,1.0,130296096428083,130296098917666,130296098932625,14959,290333,70750,2437375,2798458
111,1.0,130297104278125,130297105283625,130297105297333,13708,313958,68125,830292,1212375
112,1.0,130298107626000,130298108255041,130298108270416,15375,107250,25458,694625,827333
113,1.0,130299114114041,130299115099041,130299115113833,14792,252041,51250,918375,1221666
114,1.0,130300116457583,130300117131375,130300117147625,16250,105583,24458,762875,892916
115,1.0,130301119974500,130301120749875,130301120763583,13708,108750,21125,830875,960750
116,1.0,130302126349958,130302127333458,130302127348708,15250,254291,64417,902542,1221250
117,1.0,130303132182166,130303133005458,130303133019833,14375,121334,31625,884833,1037792
118,1.0,130304138515375,130304139239083,130304139255500,16417,121334,41708,772417,935459
119,1.0,130305144714750,130305145455541,130305145467375,11834,108333,25292,819916,953541
120,1.0,130306150955708,130306151792625,130306151809375,16750,117583,29958,931042,1078583
121,1.0,130307157449833,130307158550666,130307158565250,14584,236458,66292,1002458,1305208
122,1.0,130308160365125,130308162360458,130308162377375,16917,126041,37375,2060625,2224041
123,1.0,130309168050500,130309169960833,130309169976041,15208,259916,71417,1826500,2157833
124,1.0,130310175772625,130310176919666,130310176934750,15084,279792,69333,1050209,1399334
125,1.0,130311180634833,130311181972333,130311181987875,15542,256708,82000,1234875,1573583
126,1.0,130312183898375,130312186725458,130312186740416,14958,274792,67208,2714709,3056709
127,1.0,130313192053375,130313193566916,130313193581666,14750,247208,53875,1400084,1701167
128,1.0,130314196794583,130314198762833,130314198779000,16167,284666,63959,1866958,2215583
129,1.0,130315204570875,130315206561375,130315206575958,14583,275208,68709,1878125,2222042
130,1.0,130316212438791,130316215250791,130316215270125,19334,265292,79916,2728042,3073250
131,1.0,130317220709208,130317222737083,130317222751791,14708,248375,57000,1939125,2244500
132,1.0,130318226522375,130318228917791,130318228937375,19584,269042,67708,2341125,2677875
133,1.0,130319230144416,130319232691125,130319232705833,14708,471166,60125,2214084,2745375
134,1.0,130320235612333,130320237908625,130320237924750,16125,286750,77375,2132500,2496625
135,1.0,130321239002500,130321241165875,130321241180666,14791,264542,67667,2064041,2396250
136,1.0,130322244639166,130322249306708,130322249322083,15375,257791,1758667,2874625,4891083
137,1.0,130323255015000,130323257095166,130323257114666,19500,259417,61125,1998208,2318750
138,1.0,130324260672041,130324262880208,130324262900500,20292,269584,58666,2129959,2458209
139,1.0,130325268729958,130325270939625,130325270953416,13791,298416,69375,2068750,2436541
140,1.0,130326276715708,130326278763208,130326278779708,16500,261625,67916,1973834,2303375
141,1.0,130327282420916,130327284675250,130327284690666,15416,291792,70458,2148500,2510750
142,1.0,130328287466291,130328293278708,130328293294708,16000,249083,64917,5710750,6024750
143,1.0,130329297358166,130329299601208,130329299616416,15208,267167,76458,2127083,2470708
144,1.0,130330303544208,130330305624833,130330305644750,19917,293375,74791,1948500,2316666
145,1.0,130331311486125,130331313692875,130331313707416,14541,288166,67750,2173667,2529583
146,1.0,130332319388041,130332321888416,130332321907333,18917,300833,85708,2376500,2763041
147,1.0,130333327697375,130333329848958,130333329868333,19375,260667,77125,2087541,2425333
148,1.0,130334335349750,130334337752166,130334337767666,15500,291125,83417,2263667,2638209
149,1.0,130335343309708,130335345548625,130335345567791,19166,280292,80792,2150625,2511709
150,1.0,130336351563833,130336353863625,130336353883291,19666,295208,73708,2179667,2548583
151,1.0,130337354856416,130337355502291,130337355516541,14250,103959,22958,731708,858625
