sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
68,0.1,130171590736750,130171591233666,130171591245166,11500,50625,13125,597667,661417
69,0.1,130171695217166,130171695750666,130171695762708,12042,53708,13667,640875,708250
70,0.1,130171798259166,130171798478875,130171798488541,9666,57417,15208,290084,362709
71,0.1,130171901310208,130171902019666,130171902033000,13334,108750,22000,836041,966791
72,0.1,130172005690583,130172006203416,130172006214750,11334,56833,14417,592750,664000
73,0.1,130172111459750,130172111884083,130172111895333,11250,37250,12084,514916,564250
74,0.1,130172218455333,130172219022708,130172219033500,10792,42791,24250,643584,710625
75,0.1,130172324270416,130172324759625,130172324769625,10000,40333,10125,603417,653875
76,0.1,130172429570541,130172430046458,130172430057375,10917,44083,14042,576542,634667
77,0.1,130172535302291,130172535780083,130172535791333,11250,38625,17458,573084,629167
78,0.1,130172641057708,130172641620750,130172641634291,13541,67583,21500,690167,779250
79,0.1,130172745572916,130172746393250,130172746408541,15291,123750,28834,893000,1045584
80,0.1,130172847180041,130172848968125,130172848981916,13791,111500,30792,1865125,2007417
81,0.1,130172954234375,130172954948916,130172954964583,15667,91333,19000,798709,909042
82,0.1,130173060279458,130173060767000,130173060777958,10958,41292,19291,584000,644583
83,0.1,130173163829875,130173164326208,130173164337916,11708,47625,22625,573875,644125
84,0.1,130173269622166,130173270202166,130173270213208,11042,82959,92666,538292,713917
85,0.1,130173370869375,130173371398458,130173371409666,11208,83708,20500,557708,661916
86,0.1,130173477432958,130173478005250,130173478016250,11000,84584,51208,549333,685125
87,0.1,130173582061291,130173582518750,130173582530375,11625,56083,14875,556500,627458
88,0.1,130173687858041,130173688533916,130173688547166,13250,78208,22209,780958,881375
89,0.1,130173793981791,130173794946333,130173794965833,19500,121583,41834,1073583,1237000
90,0.1,130173900472750,130173901306791,130173901317666,10875,102000,26750,909500,1038250
91,0.1,130174003626125,130174004272416,130174004287041,14625,87375,19583,737792,844750
