sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,0.01,4269175759375,4269176322750,4269176332833,10083,42417,18667,661125,722209
1,0.01,4269187397416,4269187539958,4269187549375,9417,37792,7125,197250,242167
2,0.01,4269200298583,4269200910375,4269200920333,9958,82709,21250,620208,724167
3,0.01,4269212388541,4269213053166,4269213062083,8917,90208,23833,677375,791416
4,0.01,4269225866125,4269226436791,4269226445166,8375,78167,19375,582500,680042
5,0.01,4269238575041,4269239110833,4269239119750,8917,34291,11209,615000,660500
6,0.01,4269251911750,4269252538083,4269252547000,8917,109917,27125,597375,734417
7,0.01,4269264312541,4269264820541,4269264846375,25834,102583,21834,587791,712208
8,0.01,4269276150583,4269276736500,4269276744916,8416,77791,19334,603625,700750
9,0.01,4269289608125,4269290051791,4269290059541,7750,121542,21833,735750,879125
10,0.01,4269303141583,4269303666083,4269303675208,9125,34833,9583,654667,699083
11,0.01,4269315252625,4269315373416,4269315381500,8084,25250,8792,187916,221958
12,0.01,4269326967958,4269327476083,4269327485000,8917,53417,12291,554625,620333
13,0.01,4269339136250,4269339688250,4269339697375,9125,35750,10167,626292,672209
14,0.01,4269352382250,4269352858083,4269352867333,9250,32209,9083,569583,610875
15,0.01,4269365557083,4269365667916,4269365677000,9084,23209,7958,178458,209625
16,0.01,4269378353333,4269378901458,4269378910333,8875,43042,12208,604125,659375
17,0.01,4269391567958,4269391935041,4269391943416,8375,20292,6666,425000,451958
18,0.01,4269404559458,4269404970041,4269404978583,8542,15791,5334,486458,507583
19,0.01,4269417709625,4269418285708,4269418295041,9333,81667,22167,582791,686625
20,0.01,4269431133750,4269431782041,4269431790916,8875,116791,29584,683250,829625
21,0.01,4269442358750,4269442967750,4269442975916,8166,92916,26875,571917,691708
22,0.01,4269455156375,4269455865875,4269455874666,8791,91875,31542,745333,868750
23,0.01,4269468709041,4269469121333,4269469129375,8042,53458,13500,439875,506833
24,0.01,4269479742583,4269480402250,4269480410666,8416,76750,22750,708208,807708
25,0.01,4269493231916,4269493747291,4269493762541,15250,51041,14667,553167,618875
26,0.01,4269506467291,4269506629791,4269506646958,17167,48584,14083,203333,266000
27,0.01,4269517639625,4269518167458,4269518176416,8958,86958,16708,538709,642375
28,0.01,4269531009500,4269531761708,4269531771083,9375,111667,32250,771708,915625
29,0.01,4269542600000,4269543074041,4269543083000,8959,55959,14291,515917,586167
30,0.01,4269554432250,4269555007333,4269555016833,9500,52000,14916,651250,718166
31,0.01,4269567738333,4269568211583,4269568221416,9833,31834,11041,573792,616667
32,0.01,4269581063458,4269581367916,4269581376458,8542,114250,24209,251916,390375
33,0.01,4269593658708,4269594120833,4269594129416,8583,26708,9583,553584,589875
34,0.01,4269606927583,4269607215458,4269607224291,8833,98792,24333,244000,367125
35,0.01,4269619938000,4269620462541,4269620472291,9750,31250,10750,630375,672375
36,0.01,4269633335708,4269633984958,4269633994083,9125,114292,27458,627625,769375
37,0.01,4269646834166,4269647659750,4269647668958,9208,121584,28916,800417,950917
38,0.01,4269660408500,4269660962875,4269660977625,14750,57875,16458,646667,721000
39,0.01,4269673705333,4269674294375,4269674318958,24583,30917,9250,812125,852292
40,0.01,4269687146583,4269687684208,4269687693208,9000,28583,9584,637000,675167
41,0.01,4269700375000,4269700821583,4269700830166,8583,20250,7666,578792,606708
42,0.01,4269713683666,4269714212791,4269714222250,9459,27750,9084,629250,666084
43,0.01,4269726919250,4269727367750,4269727377000,9250,22375,7917,559292,589584
44,0.01,4269738383125,4269738900416,4269738909166,8750,18291,6584,636416,661291
45,0.01,4269751750916,4269752392041,4269752400625,8584,110209,26833,610167,747209
46,0.01,4269764206500,4269764763583,4269764772541,8958,31042,10666,665125,706833
47,0.01,4269776503416,4269777134291,4269777142833,8542,111500,25708,608833,746041
48,0.01,4269789890000,4269790417500,4269790426208,8708,28791,9667,644833,683291
49,0.01,4269803152291,4269803692333,4269803701375,9042,43250,13750,594667,651667
50,0.01,4269816386583,4269816495708,4269816503666,7958,23500,6583,166000,196083
51,0.01,4269829202375,4269829653041,4269829661083,8042,31042,13583,506000,550625
52,0.01,4269842357416,4269842509625,4269842518125,8500,51959,8625,190750,251334
53,0.01,4269855188666,4269855641583,4269855650000,8417,30083,8083,542209,580375
54,0.01,4269868333333,4269868737625,4269868746250,8625,32833,9875,502000,544708
55,0.01,4269881147083,4269881629166,4269881638041,8875,20125,5458,627792,653375
56,0.01,4269894365166,4269894772000,4269894781750,9750,23000,7667,530083,560750
57,0.01,4269907474041,4269907579458,4269907587791,8333,17958,5542,181083,204583
58,0.01,4269920236541,4269920684708,4269920694166,9458,20292,6458,559542,586292
59,0.01,4269933360083,4269933483416,4269933492166,8750,15375,6083,215584,237042
60,0.01,4269946152583,4269946651875,4269946660625,8750,21750,8709,610041,640500
61,0.01,4269959358375,4269959812000,4269959820791,8791,21250,7584,574500,603334
62,0.01,4269972520666,4269972651791,4269972660250,8459,19500,7541,210584,237625
63,0.01,4269984340375,4269984801833,4269984810833,9000,29959,8458,566833,605250
64,0.01,4269997488416,4269998021208,4269998030000,8792,25500,8375,632583,666458
65,0.01,4270010704375,4270011161500,4270011170583,9083,20333,6917,562625,589875
66,0.01,4270024076625,4270024456666,4270024465833,9167,106709,33291,349792,489792
67,0.01,4270037214541,4270037742750,4270037752375,9625,28375,9750,614667,652792
68,0.01,4270050145791,4270050499458,4270050508583,9125,22083,7917,447250,477250
69,0.01,4270063335083,4270064178041,4270064186333,8292,146625,39833,816917,1003375
70,0.01,4270075284541,4270075923333,4270075932625,9292,128958,27334,601208,757500
71,0.01,4270088649583,4270089172250,4270089181416,9166,23417,8250,646667,678334
