sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,0.0,4268835232291,4268839699000,4268839757291,58291,397625,22625,4208416,4628666
1,0.0,4268839980833,4268840088416,4268840094625,6209,24792,7625,154291,186708
2,0.0,4268840188000,4268840266000,4268840272541,6541,10167,4000,136958,151125
3,0.0,4268840366208,4268840448916,4268840455541,6625,14834,5166,137375,157375
4,0.0,4268840540000,4268840618833,4268840625208,6375,13625,3542,134333,151500
5,0.0,4268840712916,4268841057416,4268841065458,8042,13459,4916,403125,421500
6,0.0,4268841153000,4268841218958,4268841225500,6542,8209,3458,127292,138959
7,0.0,4268841304041,4268841580708,4268841589083,8375,7125,2958,354250,364333
8,0.0,4268841688291,4268841763458,4268841769833,6375,9833,3792,133083,146708
9,0.0,4268841845083,4268842128583,4268842136666,8083,7000,3209,343166,353375
10,0.0,4268842211125,4268842288958,4268842295500,6542,8125,3334,118625,130084
11,0.0,4268842356791,4268842645041,4268842653208,8167,7750,2833,339000,349583
12,0.0,4268842721875,4268842803416,4268842810166,6750,7667,2875,123500,134042
13,0.0,4268842865708,4268843184250,4268843192458,8208,6833,2625,394667,404125
14,0.0,4268843280916,4268843357833,4268843364333,6500,6792,2916,130917,140625
15,0.0,4268843431333,4268843719875,4268843734708,14833,12250,2917,359458,374625
16,0.0,4268843816375,4268843894583,4268843901041,6458,6833,2750,133750,143333
17,0.0,4268843971833,4268844252500,4268844260708,8208,8416,2959,364291,375666
18,0.0,4268844356125,4268844429583,4268844436125,6542,6417,2750,137125,146292
19,0.0,4268844511375,4268844791166,4268844800041,8875,6667,2791,354125,363583
20,0.0,4268844883666,4268844959833,4268844966500,6667,6541,2709,130875,140125
21,0.0,4268845032666,4268845371125,4268845379166,8041,6667,3000,402500,412167
22,0.0,4268845453625,4268845528208,4268845534750,6542,6625,2792,129916,139333
23,0.0,4268845601833,4268845675708,4268845682291,6583,6708,2917,130333,139958
24,0.0,4268845750791,4268845823750,4268845830250,6500,6333,2792,127208,136333
25,0.0,4268845896208,4268845968500,4268845974708,6208,6375,2459,136000,144834
26,0.0,4268846056500,4268846128708,4268846135416,6708,8625,3458,131917,144000
27,0.0,4268846210708,4268846280125,4268846286750,6625,6417,2750,131500,140667
28,0.0,4268846360625,4268846428875,4268846435375,6500,6583,2542,128542,137667
29,0.0,4268846507416,4268846576208,4268846582541,6333,6625,2542,125541,134708
30,0.0,4268846651458,4268846719708,4268846726125,6417,6667,2833,130334,139834
31,0.0,4268846803083,4268846870750,4268846877125,6375,6542,2750,127042,136334
32,0.0,4268846949625,4268847017166,4268847023750,6584,6584,2625,121750,130959
33,0.0,4268847089958,4268847157750,4268847164083,6333,6416,2167,130792,139375
34,0.0,4268847241041,4268847311833,4268847318250,6417,8000,3000,132625,143625
35,0.0,4268847397375,4268847467125,4268847473666,6541,7500,2958,128125,138583
36,0.0,4268847549125,4268847618500,4268847624791,6291,7459,3166,130125,140750
37,0.0,4268847700500,4268847771041,4268847777166,6125,8834,2916,130667,142417
38,0.0,4268847852333,4268847919458,4268847925833,6375,7042,2833,125750,135625
39,0.0,4268847997250,4268848065666,4268848072125,6459,7000,2625,127750,137375
40,0.0,4268848143083,4268848196750,4268848220416,23666,6375,2708,138500,147583
41,0.0,4268848298916,4268848374250,4268848380291,6041,6083,2459,138875,147417
42,0.0,4268848454541,4268848521416,4268848527916,6500,6125,2458,131000,139583
