sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,0.1,4271734743875,4271735314041,4271735323083,9042,50625,18500,602834,671959
1,0.1,4271839266333,4271839856125,4271839865083,8958,61208,18542,647208,726958
2,0.1,4271945226500,4271946153416,4271946161791,8375,262083,33167,755833,1051083
3,0.1,4272051449625,4272052196708,4272052205625,8917,155833,38000,696459,890292
4,0.1,4272155744583,4272156553458,4272156561791,8333,150417,38292,746500,935209
5,0.1,4272261911875,4272262573041,4272262581916,8875,87791,18459,689833,796083
6,0.1,4272368178750,4272368883083,4272368892708,9625,133416,31334,652833,817583
7,0.1,4272472251375,4272473027416,4272473052000,24584,139542,37500,793875,970917
8,0.1,4272575102958,4272575816333,4272575825583,9250,148750,38375,664666,851791
9,0.1,4272679724583,4272680223708,4272680231666,7958,60416,16209,542791,619416
10,0.1,4272785213125,4272785625041,4272785633416,8375,53125,15625,422167,490917
11,0.1,4272889019458,4272889741291,4272889750458,9167,122000,28041,741375,891416
12,0.1,4272995157291,4272995937916,4272995946333,8417,125959,87000,696250,909209
13,0.1,4273096925750,4273097619666,4273097628125,8459,170583,30167,638708,839458
14,0.1,4273198884625,4273199536083,4273199545083,9000,120250,28666,665792,814708
15,0.1,4273300091708,4273300639541,4273300648625,9084,69709,19833,580125,669667
16,0.1,4273406012458,4273406395166,4273406402916,7750,216375,28167,215416,459958
17,0.1,4273511806625,4273513368083,4273513376875,8792,359291,42250,1415875,1817416
18,0.1,4273616080916,4273616630666,4273616640125,9459,69583,19333,597959,686875
19,0.1,4273721531000,4273722071000,4273722079000,8000,85792,22042,534291,642125
20,0.1,4273827328833,4273827909208,4273827918125,8917,65541,22334,621666,709541
21,0.1,4273931852333,4273932521000,4273932530125,9125,137458,33167,631791,802416
22,0.1,4274037450083,4274038207458,4274038216125,8667,136958,31000,717125,885083
23,0.1,4274142308333,4274143001125,4274143010041,8916,139458,34583,622292,796333
24,0.1,4274246030666,4274246782458,4274246807125,24667,138833,34209,803916,976958
25,0.1,4274350575500,4274351092500,4274351100541,8041,109166,19542,473917,602625
26,0.1,4274456423666,4274457120333,4274457129166,8833,136083,31167,643625,810875
27,0.1,4274562534250,4274563385500,4274563394208,8708,152458,40334,816958,1009750
28,0.1,4274667558125,4274668224791,4274668234500,9709,135000,34584,640583,810167
29,0.1,4274773652041,4274774357541,4274774366375,8834,136833,37834,648541,823208
30,0.1,4274879092375,4274879580041,4274879588541,8500,50709,13708,541000,605417
31,0.1,4274984906875,4274985586041,4274985595375,9334,115292,33083,678042,826417
32,0.1,4275088165666,4275088377958,4275088386166,8208,53583,30833,205875,290291
33,0.1,4275191137333,4275191823416,4275191833041,9625,147542,30542,629125,807209
34,0.1,4275297257208,4275297598666,4275297606458,7792,206583,26959,177333,410875
35,0.1,4275402635916,4275403248416,4275403257250,8834,128042,28750,564500,721292
36,0.1,4275508774041,4275509451875,4275509460000,8125,138917,28708,642208,809833
37,0.1,4275611324958,4275611992291,4275612001000,8709,77042,19333,764208,860583
38,0.1,4275717433416,4275718134208,4275718142583,8375,140709,34791,657042,832542
39,0.1,4275820729625,4275821372000,4275821381041,9041,66291,18250,714625,799166
40,0.1,4275926689541,4275927222875,4275927232250,9375,61333,15958,582625,659916
41,0.1,4276032505708,4276033071916,4276033080416,8500,79541,19500,650417,749458
42,0.1,4276138513208,4276139153791,4276139173666,19875,65500,17958,748292,831750
43,0.1,4276244598166,4276245313500,4276245322208,8708,136167,29416,667750,833333
44,0.1,4276348005000,4276348590208,4276348598583,8375,156750,29583,512417,698750
45,0.1,4276453566541,4276454190875,4276454200083,9208,71875,18708,668042,758625
46,0.1,4276557775833,4276558428125,4276558437375,9250,133417,29625,604833,767875
47,0.1,4276662129208,4276662746125,4276662755708,9583,71375,17833,663209,752417
48,0.1,4276768037708,4276768562916,4276768572416,9500,61708,17042,596500,675250
49,0.1,4276873862875,4276874022375,4276874030583,8208,55875,10000,182750,248625
50,0.1,4276979383666,4276980180416,4276980189291,8875,150000,31083,733208,914291
51,0.1,4277085513666,4277086064041,4277086073250,9209,60709,15541,607625,683875
52,0.1,4277187072958,4277187693541,4277187702333,8792,80375,18958,661000,760333
