sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
69,0.0,130161525209833,130161525302666,130161525310708,8042,10750,4334,161333,176417
70,0.0,130161525403750,130161525500208,130161525508250,8042,15417,3625,231583,250625
71,0.0,130161525669125,130161525772625,130161525780750,8125,9042,3417,230458,242917
72,0.0,130161525929208,130161526023458,130161526031500,8042,10750,4208,219583,234541
73,0.0,130161526177625,130161526262083,130161526270083,8000,8250,3209,207500,218959
74,0.0,130161526410125,130161526496541,130161526504583,8042,7959,6416,209500,223875
75,0.0,130161526649958,130161526752916,130161526761000,8084,8167,3292,186958,198417
76,0.0,130161526864541,130161526963125,130161526971208,8083,8125,3042,173458,184625
77,0.0,130161527062500,130161527163875,130161527172000,8125,8250,3125,188709,200084
78,0.0,130161527276000,130161527364833,130161527372875,8042,8333,3209,162208,173750
79,0.0,130161527462625,130161527550916,130161527558958,8042,8000,3375,210709,222084
80,0.0,130161527697208,130161527852000,130161527859916,7916,8208,3000,299292,310500
81,0.0,130161528022583,130161528089583,130161528173333,83750,8500,3250,307416,319166
82,0.0,130161528367625,130161528480791,130161528488875,8084,13250,5417,216916,235583
83,0.0,130161528616916,130161528708291,130161528716208,7917,9750,3292,216708,229750
84,0.0,130161528859625,130161528974458,130161528982500,8042,8750,4208,208000,220958
85,0.0,130161529098375,130161529199541,130161529207583,8042,14584,5125,219083,238792
86,0.0,130161529358750,130161529451750,130161529459625,7875,12958,4500,163750,181208
87,0.0,130161529561166,130161529655333,130161529663333,8000,9833,3792,184041,197666
88,0.0,130161529773458,130161529866125,130161529874166,8041,11625,3750,158625,174000
89,0.0,130161529960500,130161530048541,130161530056583,8042,8167,3792,167500,179459
90,0.0,130161530158250,130161530261500,130161530269625,8125,11208,4458,198292,213958
91,0.0,130161530387750,130161530491791,130161530499875,8084,9709,3583,227125,240417
92,0.0,130161530642125,130161530747125,130161530755250,8125,9334,3458,201917,214709
93,0.0,130161530876291,130161530967458,130161530975500,8042,8208,3500,228750,240458
94,0.0,130161531129458,130161531231208,130161531239291,8083,8583,3083,223584,235250
