sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
69,1.0,4361949538166,4361950093583,4361950102125,8542,87833,19792,573333,680958
70,1.0,4362951321666,4362951907000,4362951916333,9333,89833,20709,603041,713583
71,1.0,4363955615250,4363956263083,4363956272333,9250,72708,18750,685167,776625
72,1.0,4364961603958,4364962214000,4364962222625,8625,69166,21542,636042,726750
73,1.0,4365964241875,4365964907041,4365964915916,8875,72417,19000,709792,801209
74,1.0,4366967726375,4366968170125,4366968178500,8375,53042,13667,500958,567667
75,1.0,4367973447000,4367973767250,4367973776041,8791,48500,13208,344625,406333
76,1.0,4368978985958,4368979445833,4368979454125,8292,47375,12375,525458,585208
77,1.0,4369980489208,4369980884000,4369980892125,8125,37125,9459,442708,489292
78,1.0,4370986126208,4370986706791,4370986715833,9042,67709,18041,639875,725625
79,1.0,4371991987000,4371992487208,4371992496250,9042,47084,12083,558917,618084
80,1.0,4372997703416,4372998196625,4372998204583,7958,41416,10709,565833,617958
81,1.0,4374003413833,4374003857833,4374003865708,7875,40625,11250,487334,539209
82,1.0,4375007244833,4375007408333,4375007416083,7750,44167,12667,207750,264584
83,1.0,4376012684208,4376013216666,4376013224791,8125,47250,15417,595625,658292
84,1.0,4377013799333,4377014280916,4377014289625,8709,45834,12541,556459,614834
85,1.0,4378016752833,4378017187750,4378017202458,14708,58000,21167,480958,560125
86,1.0,4379017594583,4379017970666,4379017978958,8292,41417,10583,408500,460500
87,1.0,4380023243375,4380023832375,4380023842125,9750,52000,13083,683250,748333
88,1.0,4381029181583,4381029614916,4381029623166,8250,41416,11209,477833,530458
89,1.0,4382033857750,4382034014416,4382034022833,8417,45625,12166,195917,253708
90,1.0,4383036149666,4383036679916,4383036688750,8834,71417,18458,579042,668917
91,1.0,4384039689125,4384040371250,4384040380250,9000,101292,16667,714125,832084
92,1.0,4385045644750,4385046141375,4385046149416,8041,45208,10792,577000,633000
93,1.0,4386050902666,4386051445708,4386051455458,9750,55333,16000,622458,693791
94,1.0,4387056784875,4387056951208,4387056959416,8208,46375,13083,205042,264500
95,1.0,4388057569500,4388058106625,4388058116458,9833,63666,14667,626667,705000
96,1.0,4389058648541,4389058827625,4389058835625,8000,45709,12625,204666,263000
97,1.0,4390064036666,4390064506375,4390064514375,8000,50125,12042,547750,609917
98,1.0,4391069592166,4391070017791,4391070025750,7959,46416,13000,467542,526958
99,1.0,4392074207000,4392074351958,4392074360291,8333,42125,11834,182583,236542
100,1.0,4393079612458,4393080236125,4393080245208,9083,59333,15625,720667,795625
101,1.0,4394085590708,4394086118916,4394086127875,8959,56625,14958,608542,680125
102,1.0,4395091437000,4395091672416,4395091682208,9792,70209,16083,269917,356209
103,1.0,4396096975541,4396097494125,4396097502791,8666,50875,16000,628708,695583
