cell_idx,sweep,m,n,k,n_amp,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,square,8,8,8,1,67317325590250,67317893283791,5000,2125,7250,7584,11958,1875,279708
1,square,8,8,8,2,67318908161208,67319454882708,5000,2792,7375,7666,21000,2083,223666
2,square,8,8,8,4,67320473461875,67321037469208,5000,2375,8208,8500,16875,2083,318084
3,square,8,8,8,8,67322048127083,67322637689583,5000,2750,9458,9750,17959,2333,225500
4,square,8,8,8,16,67323647628458,67324238073083,5000,3417,11792,12125,34042,2875,260209
5,square,8,8,8,64,67325256789833,67325907821833,5000,6834,26167,26458,39750,5958,308334
6,square,8,8,8,256,67326926612833,67327828975833,5000,27042,83542,83916,125167,19500,331959
7,square,8,8,8,1024,67328847433916,67330489926125,5000,68459,133500,313375,338000,67333,529792
8,square,12,12,12,1,67331503081833,67332065119833,5000,2375,8333,8667,17417,2125,292500
9,square,12,12,12,2,67333079708666,67333648620208,5000,2416,7958,8208,23125,2000,265583
10,square,12,12,12,4,67334662936125,67335278044958,5000,3334,9250,9542,32291,2416,259625
11,square,12,12,12,8,67336296208958,67336869579791,5000,2917,10750,11208,22708,2666,249375
12,square,12,12,12,16,67337883531333,67338477737500,5000,3834,14167,14500,34292,3375,263292
13,square,12,12,12,64,67339487459166,67340188412416,5000,8333,33625,34083,58792,7500,300625
14,square,12,12,12,256,67341202463458,67342172848125,5000,25500,63208,115208,136542,24500,364708
15,square,12,12,12,1024,67343186631250,67345213768750,5000,92417,181375,426708,463791,89167,801459
16,square,16,16,16,1,67346228247833,67346814977083,5000,2584,8416,8875,21667,2166,265833
17,square,16,16,16,2,67347828722958,67348431965041,5000,2750,9709,10125,29334,2417,257292
18,square,16,16,16,4,67349445578541,67350042179291,5000,3584,11250,11666,24542,2834,256500
19,square,16,16,16,8,67351055944875,67351671980625,5000,3791,14333,14791,26458,3417,325791
20,square,16,16,16,16,67352682145625,67353315969666,5000,5458,20375,20792,43750,4708,235083
21,square,16,16,16,64,67354325835708,67355050350041,5000,12833,21292,57375,66084,12458,337875
22,square,16,16,16,256,67356059281208,67357389714000,5000,44042,200959,202750,243084,42834,456166
23,square,16,16,16,1024,67358399921208,67360824178125,5000,168291,286042,499000,784667,162542,924458
24,square,24,24,24,1,67361838099083,67362436487625,5000,2917,9709,10125,33833,2458,248750
25,square,24,24,24,2,67363450057625,67364069889250,5000,3125,11000,11584,25541,2750,276625
26,square,24,24,24,4,67365083850458,67365683877833,5000,3541,13041,13750,20334,3291,321500
27,square,24,24,24,8,67366697778250,67367316161083,5000,4833,17708,18083,43584,4167,236667
28,square,24,24,24,16,67368330118541,67368974355083,5000,6500,26708,27292,30292,6125,340208
29,square,24,24,24,64,67369988041416,67370864244208,5000,20333,80417,81542,96375,17625,292250
30,square,24,24,24,256,67371878676458,67373259755125,5000,66250,87958,307291,310792,65666,508625
31,square,24,24,24,1024,67374271477416,67376790099458,5000,257208,309125,509083,947875,255834,1231334
