# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:40:20    767 mW   3717 mW      0 mW    645 mW   1291 mW   1673 mW     59 mW    268 mW      2 mW      2 mW      0 mW
  21:40:20    407 mW   2636 mW      0 mW    415 mW    841 mW    928 mW     45 mW    242 mW      2 mW      2 mW      0 mW
  21:40:21    109 mW   1151 mW      0 mW    323 mW    681 mW    625 mW     13 mW    315 mW      2 mW      2 mW      0 mW
  21:40:21    297 mW   1750 mW      0 mW    380 mW    845 mW    983 mW     18 mW    199 mW      2 mW      0 mW      0 mW
  21:40:22    821 mW   4133 mW      0 mW    749 mW   1414 mW   1883 mW     82 mW    342 mW      2 mW      2 mW      0 mW
  21:40:22     93 mW   1472 mW      0 mW    249 mW    570 mW    623 mW     11 mW    161 mW      2 mW      2 mW      0 mW
  21:40:23    163 mW   1279 mW      0 mW    402 mW    805 mW    725 mW     18 mW    348 mW      0 mW      2 mW      0 mW
  21:40:23    740 mW   2870 mW      0 mW    587 mW   1214 mW   1574 mW     52 mW    207 mW      2 mW      2 mW      0 mW
  21:40:23    476 mW   2962 mW      0 mW    549 mW   1076 mW   1348 mW     57 mW    308 mW      2 mW      2 mW      0 mW
  21:40:24    102 mW   1175 mW      0 mW    313 mW    660 mW    636 mW     13 mW    271 mW      2 mW      2 mW      0 mW
  21:40:24    200 mW   1147 mW      0 mW    293 mW    661 mW    558 mW     13 mW    242 mW      2 mW      2 mW      0 mW
  21:40:25    944 mW   3313 mW      0 mW    643 mW   1316 mW   1704 mW     70 mW    345 mW      2 mW      2 mW      0 mW
  21:40:25    391 mW   2414 mW      0 mW    376 mW    847 mW   1067 mW     48 mW    171 mW      2 mW      0 mW      0 mW
  21:40:26    115 mW   1255 mW      0 mW    370 mW    730 mW    721 mW     16 mW    340 mW      2 mW      2 mW      0 mW
  21:40:26    277 mW   1211 mW      0 mW    261 mW    680 mW    581 mW     16 mW    190 mW      2 mW      2 mW      0 mW
  21:40:27   1136 mW   3158 mW      0 mW    677 mW   1319 mW   1761 mW    100 mW    333 mW      0 mW      2 mW      0 mW
  21:40:27    568 mW   2858 mW      0 mW    539 mW   1089 mW   1512 mW     67 mW    214 mW      2 mW      2 mW      0 mW
  21:40:27    164 mW   1276 mW      0 mW    376 mW    752 mW    770 mW     16 mW    288 mW      2 mW      2 mW      0 mW
  21:40:28     92 mW   1198 mW      0 mW    320 mW    676 mW    654 mW     11 mW    293 mW      2 mW      2 mW      0 mW
  21:40:28    932 mW   1617 mW      0 mW    450 mW   1105 mW   1091 mW     60 mW    247 mW      2 mW      2 mW      0 mW
  21:40:29   1482 mW   2343 mW      0 mW    565 mW   1255 mW   1408 mW    107 mW    322 mW      2 mW      0 mW      0 mW
  21:40:29   1465 mW   2098 mW      0 mW    493 mW   1160 mW   1388 mW    106 mW    184 mW      2 mW      2 mW      0 mW
  21:40:30   1056 mW   2266 mW      0 mW    556 mW   1245 mW   1359 mW    100 mW    328 mW      2 mW      2 mW      0 mW
  21:40:30    105 mW   1247 mW      0 mW    260 mW    433 mW    572 mW      9 mW    188 mW      0 mW      2 mW      0 mW
  21:40:31    119 mW   1154 mW      0 mW    327 mW    701 mW    626 mW     13 mW    308 mW      2 mW      2 mW      0 mW
  21:40:31    773 mW   2969 mW      0 mW    587 mW   1216 mW   1573 mW     55 mW    259 mW      2 mW      2 mW      0 mW
  21:40:31    387 mW   2713 mW      0 mW    482 mW    955 mW   1177 mW     53 mW    271 mW      2 mW      2 mW      0 mW
  21:40:32    114 mW   1135 mW      0 mW    326 mW    673 mW    680 mW     13 mW    302 mW      2 mW      2 mW      0 mW
  21:40:32    258 mW   1619 mW      0 mW    403 mW    859 mW    864 mW     17 mW    236 mW      2 mW      2 mW      0 mW
  21:40:33    950 mW   3894 mW      0 mW    713 mW   1376 mW   1821 mW     69 mW    333 mW      2 mW      0 mW      0 mW
  21:40:33    156 mW   1946 mW      0 mW    313 mW    714 mW    753 mW     28 mW    152 mW      2 mW      2 mW      0 mW
  21:40:34    120 mW   1186 mW      0 mW    352 mW    729 mW    654 mW     13 mW    330 mW      2 mW      2 mW      0 mW
  21:40:34    924 mW   2433 mW      0 mW    501 mW   1109 mW   1474 mW     68 mW    204 mW      0 mW      2 mW      0 mW
  21:40:35    637 mW   3406 mW      0 mW    623 mW   1229 mW   1558 mW     71 mW    338 mW      2 mW      2 mW      0 mW
  21:40:35     99 mW   1633 mW      0 mW    332 mW    624 mW    659 mW     11 mW    232 mW      2 mW      2 mW      0 mW
  21:40:35    211 mW   1632 mW      0 mW    360 mW    743 mW    618 mW     18 mW    278 mW      2 mW      2 mW      0 mW
  21:40:36    846 mW   3811 mW      0 mW    661 mW   1229 mW   1637 mW     64 mW    302 mW      2 mW      2 mW      0 mW
  21:40:36    498 mW   2890 mW      0 mW    424 mW    856 mW    940 mW     55 mW    211 mW      2 mW      2 mW      0 mW
  21:40:37    140 mW   2182 mW      0 mW    441 mW    815 mW    745 mW     15 mW    317 mW      2 mW      0 mW      0 mW
  21:40:37    319 mW   1924 mW      0 mW    407 mW    970 mW    970 mW     21 mW    209 mW      2 mW      2 mW      0 mW
  21:40:38    956 mW   4416 mW      0 mW    784 mW   1486 mW   1848 mW     95 mW    326 mW      2 mW      2 mW      0 mW
  21:40:38    115 mW   2147 mW      0 mW    337 mW    657 mW    677 mW     15 mW    169 mW      0 mW      2 mW      0 mW
  21:40:39    150 mW   1755 mW      0 mW    430 mW    746 mW    647 mW     17 mW    314 mW      2 mW      2 mW      0 mW
