# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:38:17    414 mW  11231 mW      0 mW   1362 mW   2505 mW   2138 mW     28 mW    323 mW      2 mW      2 mW      0 mW
  21:38:18    638 mW   7252 mW      0 mW   1079 mW   1969 mW   1921 mW     63 mW    312 mW      2 mW      2 mW      0 mW
  21:38:18    184 mW   2502 mW      0 mW    690 mW   1226 mW   1106 mW     16 mW    329 mW      5 mW      2 mW      0 mW
  21:38:19    222 mW   2338 mW      0 mW    787 mW   1292 mW   1248 mW     21 mW    324 mW      0 mW      2 mW      0 mW
  21:38:19    853 mW   3693 mW      0 mW    923 mW   1631 mW   1758 mW     59 mW    323 mW      2 mW      2 mW      0 mW
  21:38:19    628 mW   4258 mW      0 mW    955 mW   1610 mW   1631 mW     67 mW    335 mW      2 mW      2 mW      0 mW
  21:38:20    409 mW   2143 mW      0 mW    757 mW   1295 mW   1181 mW     34 mW    321 mW      2 mW      2 mW      0 mW
  21:38:20    467 mW   2134 mW      0 mW    755 mW   1328 mW   1174 mW     35 mW    337 mW      2 mW      0 mW      0 mW
  21:38:21    845 mW   4994 mW      0 mW   1051 mW   1830 mW   1978 mW     64 mW    330 mW      2 mW      2 mW      0 mW
  21:38:21    269 mW   3203 mW      0 mW    645 mW   1141 mW   1150 mW     32 mW    214 mW      2 mW      2 mW      0 mW
  21:38:22    214 mW   2038 mW      0 mW    658 mW    884 mW    998 mW     21 mW    315 mW      0 mW      2 mW      0 mW
  21:38:22    307 mW   2091 mW      0 mW    537 mW    805 mW   1101 mW     23 mW    248 mW      2 mW      2 mW      0 mW
  21:38:22    918 mW   4099 mW      0 mW    852 mW   1445 mW   1918 mW     66 mW    334 mW      2 mW      2 mW      0 mW
  21:38:23    259 mW   2410 mW      0 mW    495 mW    829 mW    972 mW     35 mW    284 mW      2 mW      2 mW      0 mW
  21:38:23    212 mW   1619 mW      0 mW    525 mW    846 mW    948 mW     18 mW    287 mW      2 mW      2 mW      0 mW
  21:38:24    559 mW   2029 mW      0 mW    590 mW    936 mW   1084 mW     43 mW    341 mW      2 mW      0 mW      0 mW
  21:38:24    911 mW   3300 mW      0 mW    713 mW   1278 mW   1762 mW     74 mW    243 mW      2 mW      2 mW      0 mW
  21:38:25    662 mW   3468 mW      0 mW    772 mW   1310 mW   1727 mW     70 mW    323 mW      2 mW      2 mW      0 mW
  21:38:25    155 mW   1562 mW      0 mW    393 mW    730 mW    789 mW     11 mW    198 mW      0 mW      2 mW      0 mW
  21:38:26    245 mW   1457 mW      0 mW    495 mW    846 mW    877 mW     22 mW    316 mW      2 mW      2 mW      0 mW
  21:38:26    696 mW   1826 mW      0 mW    559 mW   1144 mW   1162 mW     46 mW    276 mW      2 mW      2 mW      0 mW
  21:38:26   1019 mW   2456 mW      0 mW    694 mW   1328 mW   1506 mW     86 mW    297 mW      2 mW      2 mW      0 mW
  21:38:27   1009 mW   2343 mW      0 mW    663 mW   1292 mW   1433 mW     82 mW    329 mW      2 mW      2 mW      0 mW
  21:38:27   1008 mW   2301 mW      0 mW    577 mW   1214 mW   1310 mW     79 mW    236 mW      2 mW      0 mW      0 mW
  21:38:28    659 mW   2423 mW      0 mW    661 mW   1222 mW   1338 mW     72 mW    320 mW      2 mW      2 mW      0 mW
  21:38:28    177 mW   1574 mW      0 mW    411 mW    569 mW    797 mW     16 mW    201 mW      0 mW      2 mW      0 mW
  21:38:29    221 mW   1593 mW      0 mW    464 mW    704 mW    713 mW     20 mW    322 mW      2 mW      2 mW      0 mW
  21:38:29    733 mW   3247 mW      0 mW    656 mW   1167 mW   1599 mW     54 mW    255 mW      2 mW      2 mW      0 mW
  21:38:29    444 mW   3146 mW      0 mW    626 mW   1064 mW   1324 mW     50 mW    269 mW      2 mW      2 mW      0 mW
  21:38:30    189 mW   1686 mW      0 mW    494 mW    706 mW    820 mW     19 mW    319 mW      2 mW      2 mW      0 mW
  21:38:30    284 mW   1727 mW      0 mW    532 mW    902 mW   1093 mW     19 mW    274 mW      2 mW      0 mW      0 mW
  21:38:31    927 mW   4430 mW      0 mW    835 mW   1400 mW   1870 mW     71 mW    332 mW      2 mW      2 mW      0 mW
  21:38:31    219 mW   2506 mW      0 mW    443 mW    807 mW    900 mW     30 mW    191 mW      2 mW      2 mW      0 mW
  21:38:32    212 mW   1600 mW      0 mW    485 mW    733 mW    778 mW     21 mW    318 mW      0 mW      2 mW      0 mW
