monotonic_ns,phase,target_busy_fraction
27302143179625,baseline,0.00
27312150780250,step_000pct,0.00
27320160951583,step_025pct,0.25
27328167718416,step_050pct,0.50
27336173108375,step_075pct,0.75
27344174411291,step_100pct,1.00
27352175457291,tail,0.00
27362175871041,subfloor,1.00
27412177488958,stopped,0.00
