# IOReport telemetry  interval=1000ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:29:10    125 mW   1454 mW      0 mW    439 mW    662 mW    575 mW     10 mW    322 mW      2 mW      2 mW      0 mW
  21:29:12    119 mW   1659 mW      0 mW    486 mW    695 mW    535 mW      9 mW    322 mW      2 mW      2 mW      0 mW
  21:29:13    848 mW   2512 mW      0 mW   1268 mW   1421 mW   1588 mW     63 mW    317 mW      2 mW      2 mW      0 mW
  21:29:14   1764 mW   4232 mW      0 mW   1465 mW   1825 mW   2219 mW    132 mW    325 mW      2 mW      2 mW      0 mW
  21:29:15   1892 mW   4742 mW      0 mW    932 mW   1516 mW   1904 mW    143 mW    320 mW      2 mW      2 mW      0 mW
  21:29:16   1826 mW   4536 mW      0 mW    952 mW   1509 mW   1915 mW    134 mW    319 mW      2 mW      2 mW      0 mW
  21:29:18   1928 mW   4775 mW      0 mW    975 mW   1580 mW   1927 mW    141 mW    320 mW      2 mW      2 mW      0 mW
  21:29:19   1706 mW   4278 mW      0 mW    970 mW   1553 mW   1901 mW    129 mW    315 mW      2 mW      2 mW      0 mW
  21:29:20   1663 mW   3718 mW      0 mW    834 mW   1451 mW   1885 mW    124 mW    325 mW      2 mW      2 mW      0 mW
  21:29:21   1652 mW   3647 mW      0 mW    812 mW   1423 mW   1845 mW    123 mW    320 mW      2 mW      2 mW      0 mW
  21:29:23   1632 mW   3769 mW      0 mW    843 mW   1450 mW   1861 mW    124 mW    318 mW      2 mW      2 mW      0 mW
  21:29:24   1705 mW   3764 mW      0 mW    847 mW   1452 mW   1865 mW    125 mW    320 mW      2 mW      2 mW      0 mW
  21:29:25   1755 mW   3842 mW      0 mW    854 mW   1462 mW   1869 mW    129 mW    320 mW      2 mW      2 mW      0 mW
  21:29:26   1711 mW   3967 mW      0 mW    870 mW   1493 mW   1877 mW    124 mW    320 mW      2 mW      2 mW      0 mW
  21:29:27   1691 mW   4032 mW      0 mW    893 mW   1519 mW   1885 mW    125 mW    319 mW      2 mW      2 mW      0 mW
  21:29:29   1704 mW   4100 mW      0 mW    906 mW   1544 mW   1894 mW    126 mW    320 mW      2 mW      2 mW      0 mW
  21:29:30   1736 mW   3887 mW      0 mW    872 mW   1496 mW   1875 mW    127 mW    319 mW      2 mW      2 mW      0 mW
  21:29:31   1725 mW   3915 mW      0 mW    863 mW   1496 mW   1873 mW    127 mW    320 mW      2 mW      2 mW      0 mW
  21:29:32   1690 mW   4125 mW      0 mW    906 mW   1532 mW   1895 mW    127 mW    320 mW      2 mW      2 mW      0 mW
  21:29:34   1683 mW   4204 mW      0 mW    921 mW   1555 mW   1900 mW    125 mW    320 mW      2 mW      2 mW      0 mW
  21:29:35   1796 mW   4298 mW      0 mW    896 mW   1550 mW   1884 mW    131 mW    320 mW      2 mW      2 mW      0 mW
  21:29:36   1731 mW   4075 mW      0 mW    835 mW   1565 mW   1859 mW    128 mW    319 mW      2 mW      2 mW      0 mW
