# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:18:01   1939 mW   1710 mW      0 mW    692 mW   1246 mW   1792 mW    502 mW    118 mW      2 mW      2 mW      0 mW
  15:18:02   1837 mW   1598 mW      0 mW    666 mW   1185 mW   1701 mW    474 mW    132 mW      0 mW      2 mW      0 mW
  15:18:02   2053 mW   1689 mW      0 mW    715 mW   1294 mW   1868 mW    522 mW    122 mW      2 mW      0 mW      0 mW
  15:18:03   1982 mW   1742 mW      0 mW    731 mW   1288 mW   1811 mW    501 mW    139 mW      2 mW      2 mW      0 mW
  15:18:03   1976 mW   1834 mW      0 mW    714 mW   1247 mW   1790 mW    509 mW    144 mW      2 mW      2 mW      0 mW
  15:18:03   1988 mW   1665 mW      0 mW    684 mW   1236 mW   1783 mW    507 mW    140 mW      2 mW      2 mW      0 mW
  15:18:04   2004 mW   1746 mW      0 mW    700 mW   1237 mW   1782 mW    507 mW    151 mW      2 mW      2 mW      0 mW
  15:18:04   1998 mW   1746 mW      0 mW    697 mW   1242 mW   1791 mW    509 mW    163 mW      0 mW      2 mW      0 mW
  15:18:05   2008 mW   2597 mW      0 mW    764 mW   1288 mW   1822 mW    510 mW    119 mW      2 mW      2 mW      0 mW
  15:18:05   1944 mW   1760 mW      0 mW    719 mW   1251 mW   1791 mW    506 mW    116 mW      2 mW      0 mW      0 mW
  15:18:06   1998 mW   1689 mW      0 mW    708 mW   1263 mW   1808 mW    515 mW    126 mW      2 mW      2 mW      0 mW
  15:18:06    758 mW   1849 mW      0 mW    456 mW    782 mW   1001 mW    210 mW    105 mW      2 mW      2 mW      0 mW
  15:18:07     46 mW   1343 mW      0 mW    261 mW    555 mW    664 mW      4 mW    118 mW      2 mW      2 mW      0 mW
  15:18:07    703 mW   1532 mW      0 mW    505 mW    852 mW   1134 mW    153 mW    111 mW      2 mW      2 mW      0 mW
  15:18:07   1934 mW   1486 mW      0 mW    996 mW   1346 mW   2007 mW    617 mW    126 mW      2 mW      2 mW      0 mW
  15:18:08   1899 mW   1479 mW      0 mW    942 mW   1264 mW   1873 mW    578 mW    112 mW      0 mW      2 mW      0 mW
  15:18:08   1796 mW   1364 mW      0 mW    880 mW   1206 mW   1819 mW    564 mW     89 mW      2 mW      0 mW      0 mW
  15:18:09   2072 mW   1587 mW      0 mW    987 mW   1332 mW   1988 mW    616 mW    110 mW      2 mW      2 mW      0 mW
  15:18:09   1891 mW   1628 mW      0 mW    911 mW   1217 mW   1807 mW    556 mW    136 mW      2 mW      2 mW      0 mW
  15:18:10   1943 mW   1390 mW      0 mW    931 mW   1263 mW   1890 mW    587 mW    121 mW      2 mW      2 mW      0 mW
  15:18:10   2042 mW   1462 mW      0 mW    980 mW   1329 mW   1987 mW    613 mW    122 mW      2 mW      2 mW      0 mW
  15:18:10   1867 mW   1393 mW      0 mW    891 mW   1213 mW   1812 mW    560 mW     97 mW      2 mW      2 mW      0 mW
  15:18:11   1889 mW   1449 mW      0 mW    940 mW   1272 mW   1881 mW    578 mW    107 mW      2 mW      2 mW      0 mW
  15:18:11   2034 mW   1564 mW      0 mW   1027 mW   1368 mW   2014 mW    612 mW    125 mW      0 mW      2 mW      0 mW
  15:18:12   1878 mW   1458 mW      0 mW    924 mW   1254 mW   1861 mW    575 mW    108 mW      2 mW      2 mW      0 mW
  15:18:12     65 mW   1368 mW      0 mW    248 mW    432 mW    536 mW     41 mW    133 mW      2 mW      0 mW      0 mW
  15:18:13     51 mW   1384 mW      0 mW    272 mW    580 mW    640 mW      4 mW    142 mW      2 mW      2 mW      0 mW
  15:18:13   1307 mW   1500 mW      0 mW    738 mW   1104 mW   1576 mW    364 mW    112 mW      2 mW      2 mW      0 mW
  15:18:14   2075 mW   1379 mW      0 mW    966 mW   1307 mW   1969 mW    622 mW    123 mW      2 mW      2 mW      0 mW
  15:18:14   1835 mW   1355 mW      0 mW    886 mW   1201 mW   1806 mW    568 mW     85 mW      2 mW      2 mW      0 mW
  15:18:14   1908 mW   1361 mW      0 mW    924 mW   1251 mW   1882 mW    595 mW    102 mW      2 mW      2 mW      0 mW
  15:18:15   1987 mW   1415 mW      0 mW    947 mW   1275 mW   1904 mW    601 mW    102 mW      2 mW      2 mW      0 mW
  15:18:15   1886 mW   1377 mW      0 mW    912 mW   1235 mW   1862 mW    592 mW    105 mW      0 mW      2 mW      0 mW
  15:18:16   2083 mW   1441 mW      0 mW   1013 mW   1351 mW   1994 mW    625 mW    123 mW      2 mW      2 mW      0 mW
  15:18:16   1867 mW   1361 mW      0 mW    902 mW   1212 mW   1814 mW    574 mW    107 mW      2 mW      0 mW      0 mW
  15:18:17   2023 mW   1394 mW      0 mW    987 mW   1336 mW   1990 mW    626 mW    101 mW      2 mW      2 mW      0 mW
  15:18:17   2016 mW   1548 mW      0 mW    941 mW   1257 mW   1883 mW    598 mW    108 mW      2 mW      2 mW      0 mW
  15:18:18   1815 mW   1309 mW      0 mW    884 mW   1195 mW   1798 mW    567 mW     93 mW      2 mW      2 mW      0 mW
  15:18:18   1272 mW   1300 mW      0 mW    700 mW    974 mW   1378 mW    424 mW    106 mW      2 mW      2 mW      0 mW
  15:18:18     55 mW   1300 mW      0 mW    264 mW    525 mW    634 mW      5 mW    141 mW      2 mW      2 mW      0 mW
  15:18:19     96 mW   1361 mW      0 mW    277 mW    601 mW    679 mW      4 mW     92 mW      0 mW      2 mW      0 mW
  15:18:19    692 mW   3671 mW      0 mW    599 mW   1276 mW   1714 mW     68 mW    128 mW      2 mW      2 mW      0 mW
  15:18:20    499 mW   3689 mW      0 mW    516 mW   1155 mW   1628 mW     80 mW    110 mW      2 mW      0 mW      0 mW
  15:18:20     55 mW   1418 mW      0 mW    254 mW    538 mW    730 mW      4 mW    117 mW      2 mW      2 mW      0 mW
  15:18:21     63 mW   1244 mW      0 mW    255 mW    539 mW    627 mW      5 mW    113 mW      2 mW      2 mW      0 mW
  15:18:21    701 mW   2878 mW      0 mW    568 mW   1156 mW   1594 mW     66 mW    104 mW      2 mW      2 mW      0 mW
  15:18:21    715 mW   3642 mW      0 mW    515 mW   1175 mW   1695 mW     83 mW    104 mW      2 mW      2 mW      0 mW
  15:18:22    197 mW   2840 mW      0 mW    408 mW    824 mW   1077 mW     36 mW    123 mW      2 mW      2 mW      0 mW
  15:18:22     62 mW   1312 mW      0 mW    249 mW    518 mW    566 mW      4 mW    111 mW      0 mW      2 mW      0 mW
  15:18:23    155 mW   1502 mW      0 mW    325 mW    779 mW    814 mW     12 mW    116 mW      2 mW      2 mW      0 mW
  15:18:23    709 mW   2431 mW      0 mW    425 mW   1020 mW   1310 mW     70 mW    125 mW      2 mW      0 mW      0 mW
  15:18:24    948 mW   3062 mW      0 mW    479 mW   1137 mW   1599 mW    105 mW    110 mW      2 mW      2 mW      0 mW
  15:18:24    758 mW   3107 mW      0 mW    484 mW   1135 mW   1567 mW     92 mW    111 mW      2 mW      2 mW      0 mW
  15:18:25    113 mW   1895 mW      0 mW    249 mW    540 mW    684 mW     22 mW     98 mW      2 mW      2 mW      0 mW
  15:18:25     53 mW   1278 mW      0 mW    264 mW    555 mW    671 mW      4 mW    124 mW      2 mW      2 mW      0 mW
  15:18:25   1079 mW   2258 mW      0 mW    477 mW   1100 mW   1545 mW    110 mW    108 mW      2 mW      2 mW      0 mW
  15:18:26    984 mW   3326 mW      0 mW    572 mW   1229 mW   1575 mW    125 mW    101 mW      0 mW      2 mW      0 mW
  15:18:26    723 mW   2753 mW      0 mW    439 mW   1017 mW   1345 mW     92 mW     95 mW      2 mW      0 mW      0 mW
  15:18:27    966 mW   2931 mW      0 mW    477 mW   1131 mW   1478 mW    120 mW    120 mW      2 mW      2 mW      0 mW
  15:18:27     91 mW   2050 mW      0 mW    317 mW    659 mW    832 mW     25 mW    128 mW      2 mW      2 mW      0 mW
  15:18:28     67 mW   1287 mW      0 mW    254 mW    507 mW    588 mW      4 mW     94 mW      2 mW      2 mW      0 mW
  15:18:28    606 mW   1832 mW      0 mW    388 mW    906 mW   1065 mW     64 mW    116 mW      2 mW      2 mW      0 mW
  15:18:28    916 mW   2425 mW      0 mW    437 mW   1065 mW   1356 mW    121 mW    105 mW      2 mW      2 mW      0 mW
  15:18:29    647 mW   2258 mW      0 mW    434 mW   1060 mW   1190 mW     94 mW    126 mW      2 mW      2 mW      0 mW
  15:18:29    846 mW   2434 mW      0 mW    454 mW   1075 mW   1384 mW    114 mW    121 mW      0 mW      2 mW      0 mW
  15:18:30    760 mW   2477 mW      0 mW    452 mW   1064 mW   1369 mW    104 mW     99 mW      2 mW      0 mW      0 mW
  15:18:30    847 mW   2456 mW      0 mW    443 mW   1080 mW   1347 mW    109 mW    112 mW      2 mW      2 mW      0 mW
  15:18:31    356 mW   2000 mW      0 mW    349 mW    825 mW   1025 mW     66 mW    101 mW      2 mW      2 mW      0 mW
  15:18:31     61 mW   1351 mW      0 mW    312 mW    608 mW    651 mW      5 mW    115 mW      2 mW      2 mW      0 mW
  15:18:31     89 mW   1310 mW      0 mW    234 mW    536 mW    600 mW      5 mW     85 mW      2 mW      2 mW      0 mW
  15:18:32    769 mW   2106 mW      0 mW    441 mW   1144 mW   1163 mW    104 mW    144 mW      2 mW      2 mW      0 mW
  15:18:32   1026 mW   2626 mW      0 mW    491 mW   1141 mW   1397 mW    168 mW    109 mW      0 mW      2 mW      0 mW
  15:18:33   1215 mW   3018 mW      0 mW    538 mW   1221 mW   1401 mW    168 mW    123 mW      2 mW      2 mW      0 mW
  15:18:33    808 mW   2254 mW      0 mW    433 mW   1110 mW   1240 mW    119 mW    103 mW      2 mW      0 mW      0 mW
  15:18:34    931 mW   2340 mW      0 mW    430 mW   1105 mW   1257 mW    143 mW     84 mW      2 mW      2 mW      0 mW
