condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,ref_t_start_raw,ref_t_end_raw,ref_delta_raw,trial_t_start_raw,trial_t_end_raw,trial_delta_raw,gap_ns,ratio,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
T1_paired,0,0,6196538747833,6196539189958,6196539259000,69042,6196539259875,6196539297833,37958,875,0.5497812925465658,98166,5042,548792,652000
T1_paired,0,1,6196539997333,6196540400833,6196540470333,69500,6196540471333,6196540508666,37333,1000,0.5371654676258992,36042,7916,551042,595000
T1_paired,0,2,6196540814416,6196541176875,6196541246625,69750,6196541247541,6196541285958,38417,916,0.5507813620071684,31167,4792,678416,714375
T1_paired,0,3,6196542102875,6196542194541,6196542261750,67209,6196542262625,6196542300875,38250,875,0.5691202071151185,19125,4375,242750,266250
T1_paired,0,4,6196542842750,6196542932041,6196542998833,66792,6196542999833,6196543039416,39583,1000,0.5926308539944903,19041,3709,270916,293666
T1_paired,0,5,6196543639583,6196543751583,6196543818833,67250,6196543819541,6196543856583,37042,708,0.5508104089219331,21667,3792,252791,278250
T1_paired,0,6,6196544400583,6196544489958,6196544557083,67125,6196544558000,6196544598041,40041,917,0.596513966480447,16292,3417,245625,265334
T1_paired,0,7,6196545155333,6196545269208,6196545336583,67375,6196545337583,6196545375083,37500,1000,0.5565862708719852,17125,3584,297125,317834
T1_paired,0,8,6196545690166,6196545772041,6196545838875,66834,6196545839666,6196545876541,36875,791,0.5517401322680073,16500,2958,230542,250000
T1_paired,0,9,6196546147291,6196546251041,6196546317916,66875,6196546318708,6196546355041,36333,792,0.5432971962616823,33709,6833,228417,268959
T1_paired,0,10,6196546639458,6196546738208,6196546805250,67042,6196546805916,6196546842416,36500,666,0.5444348318964232,19167,3875,236917,259959
T1_paired,0,11,6196547103000,6196547183333,6196547250416,67083,6196547251208,6196547287958,36750,792,0.5478288090872501,16583,3083,221000,240666
T1_paired,0,12,6196547539750,6196547618875,6196547685375,66500,6196547686166,6196547723125,36959,791,0.5557744360902256,16167,3000,220625,239792
T1_paired,0,13,6196547979958,6196548058625,6196548125708,67083,6196548126416,6196548162833,36417,708,0.542864809266133,15334,3250,219125,237709
T1_paired,0,14,6196548404833,6196548484250,6196548551333,67083,6196548552250,6196548588875,36625,917,0.545965445791035,17792,3625,213791,235208
T1_paired,0,15,6196548833250,6196549137666,6196549207333,69667,6196549208333,6196549245875,37542,1000,0.5388778044124191,20291,3417,479417,503125
T1_paired,0,16,6196549547791,6196549963833,6196550032708,68875,6196550033875,6196550072333,38458,1167,0.5583738656987296,15583,3000,582792,601375
T1_paired,0,17,6196550343416,6196550698458,6196550767375,68917,6196550768416,6196550805625,37209,1041,0.5399103269149846,16125,3250,531416,550791
T1_paired,0,18,6196551110708,6196551431625,6196551501166,69541,6196551502291,6196551540833,38542,1125,0.554234192778361,19500,3459,494375,517334
T1_paired,0,19,6196551827416,6196551902250,6196551969375,67125,6196551970166,6196552006750,36584,791,0.5450130353817505,15708,3417,209458,228583
T1_paired,0,20,6196552227666,6196552302541,6196552369208,66667,6196552370250,6196552407750,37500,1042,0.5624971875140624,15375,3209,249041,267625
T1_paired,0,21,6196552704291,6196552794083,6196552861208,67125,6196552862208,6196552899041,36833,1000,0.5487225325884544,15333,2958,264209,282500
T1_paired,0,22,6196553196125,6196553272833,6196553339791,66958,6196553340458,6196553377375,36917,667,0.5513456196421638,15417,3041,225750,244208
T1_paired,0,23,6196553630083,6196553706875,6196553773791,66916,6196553774583,6196553812750,38167,792,0.5703718094327216,15167,2958,221625,239750
T1_paired,0,24,6196554053291,6196554129875,6196554196666,66791,6196554197666,6196554235125,37459,1000,0.5608390351993532,15625,2959,252833,271417
T1_paired,0,25,6196554536875,6196554613125,6196554679875,66750,6196554680541,6196554716875,36334,666,0.5443295880149813,15208,3084,219958,238250
T1_paired,0,26,6196554966625,6196555077500,6196555144708,67208,6196555145625,6196555184958,39333,917,0.585242828234734,35125,3167,272583,310875
