condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,ref_t_start_raw,ref_t_end_raw,ref_delta_raw,trial_t_start_raw,trial_t_end_raw,trial_delta_raw,gap_ns,ratio,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
T1_paired,0,0,10158162236083,10158162453250,10158162520041,66791,10158162521875,10158162564833,42958,1834,0.6431704870416672,117875,6167,327958,452000
T1_paired,0,1,10158163069708,10158163243000,10158163310250,67250,10158163312000,10158163352125,40125,1750,0.5966542750929368,48334,9458,333125,390917
T1_paired,0,2,10158163841750,10158164086166,10158164153916,67750,10158164155666,10158164195625,39959,1750,0.5898007380073801,34875,4916,417500,457291
T1_paired,0,3,10158164589083,10158164741333,10158164808791,67458,10158164810541,10158164849291,38750,1750,0.5744314981173471,25375,8459,332125,365959
T1_paired,0,4,10158165282125,10158165446833,10158165514166,67333,10158165516500,10158165556458,39958,2334,0.5934385813791158,26959,8833,331500,367292
T1_paired,0,5,10158165936541,10158166105500,10158166173583,68083,10158166175291,10158166213833,38542,1708,0.5661031388158572,30542,8250,344375,383167
T1_paired,0,6,10158166600375,10158166767666,10158166835583,67917,10158166837625,10158166877791,40166,2042,0.5913983244254016,26584,8666,340000,375250
T1_paired,0,7,10158167243291,10158167393833,10158167461750,67917,10158167463875,10158167502583,38708,2125,0.5699309451241957,24709,4625,340916,370250
T1_paired,0,8,10158167886916,10158168001583,10158168068750,67167,10158168069833,10158168106833,37000,1083,0.5508657525272828,23958,6625,303500,334083
T1_paired,0,9,10158168552958,10158168681791,10158168749416,67625,10158168751000,10158168788916,37916,1584,0.5606802218114603,28708,7500,296417,332625
T1_paired,0,10,10158169221416,10158169338125,10158169405916,67791,10158169407750,10158169448833,41083,1834,0.6060243985189775,23708,4542,291000,319250
T1_paired,0,11,10158169876041,10158170001666,10158170071916,70250,10158170073500,10158170111333,37833,1584,0.5385480427046263,27709,4875,295666,328250
T1_paired,0,12,10158170502125,10158170662250,10158170729750,67500,10158170731541,10158170772083,40542,1791,0.6006222222222222,28083,4958,335917,368958
T1_paired,0,13,10158171128291,10158171283708,10158171351708,68000,10158171353708,10158171392166,38458,2000,0.5655588235294118,23500,5000,337709,366209
T1_paired,0,14,10158171781375,10158171898000,10158171965791,67791,10158171970708,10158172011166,40458,4917,0.5968048856042838,23708,7792,314833,346333
