condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
ref_alone,0,0,10153871222375,10153871769750,10153871840125,70375,61917,14500,657875,734292
ref_alone,0,1,10153872862625,10153873244500,10153873314000,69500,24417,5833,519417,549667
ref_alone,0,2,10153873704000,10153873803333,10153873870166,66833,12500,4917,256750,274167
ref_alone,0,3,10153874332250,10153874436166,10153874503416,67250,11917,5458,221750,239125
ref_alone,0,4,10153874893083,10153875026541,10153875093833,67292,26375,8917,253000,288292
ref_alone,0,5,10153875461083,10153875544416,10153875611500,67084,14541,4875,203625,223041
ref_alone,0,6,10153875960083,10153876048375,10153876115041,66666,15750,5542,203791,225083
ref_alone,0,7,10153876459708,10153876575875,10153876643166,67291,12167,4625,278583,295375
ref_alone,0,8,10153877068875,10153877235958,10153877302750,66792,12292,4875,289208,306375
ref_alone,0,9,10153877696000,10153878027375,10153878097333,69958,14583,5375,486292,506250
ref_alone,0,10,10153878469500,10153878775791,10153878845416,69625,14125,4500,477666,496291
ref_alone,0,11,10153879558666,10153879665791,10153879733000,67209,12916,4375,235959,253250
ref_alone,0,12,10153880323833,10153880412125,10153880478916,66791,13833,4042,209250,227125
ref_alone,0,13,10153881138500,10153881249708,10153881317125,67417,11958,4292,231917,248167
ref_alone,0,14,10153881900416,10153881992000,10153882058791,66791,20375,3625,208417,232417
ref_alone,0,15,10153882431416,10153882547000,10153882614708,67708,12125,3875,266750,282750
ref_alone,0,16,10153882985416,10153883066666,10153883133375,66709,11750,3709,203125,218584
ref_alone,0,17,10153883446458,10153883527958,10153883595083,67125,11833,3500,200750,216083
ref_alone,0,18,10153883902625,10153883984208,10153884051000,66792,11958,3667,206958,222583
ref_alone,0,19,10153884369291,10153884450958,10153884518083,67125,11125,3625,205959,220709
ref_alone,0,20,10153884840083,10153884929375,10153884995875,66500,16750,5959,235583,258292
ref_alone,0,21,10153885424458,10153885538458,10153885605958,67500,10833,4000,259459,274292
