condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,ref_t_start_raw,ref_t_end_raw,ref_delta_raw,trial_t_start_raw,trial_t_end_raw,trial_delta_raw,gap_ns,ratio,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
T1_paired,0,0,12077663062708,12077663357041,12077663424625,67584,12077663425708,12077663464583,38875,1083,0.5752101089015151,123958,9750,370292,504000
T1_paired,0,1,12077663878583,12077664030500,12077664097750,67250,12077664099916,12077664138500,38584,2166,0.5737397769516729,51166,9334,297416,357916
T1_paired,0,2,12077664527250,12077664647958,12077664715833,67875,12077664717916,12077664758458,40542,2083,0.5973038674033149,25667,4875,316750,347292
T1_paired,0,3,12077665213375,12077665640666,12077665711000,70334,12077665712125,12077665750458,38333,1125,0.5450137913384707,24166,7042,612042,643250
T1_paired,0,4,12077666519541,12077666926916,12077666997333,70417,12077666999666,12077667041666,42000,2333,0.596446880724825,57250,8291,545542,611083
T1_paired,0,5,12077667783375,12077668147500,12077668218000,70500,12077668219791,12077668258541,38750,1791,0.549645390070922,29334,6250,548875,584459
T1_paired,0,6,12077668973000,12077669472833,12077669542083,69250,12077669543250,12077669581375,38125,1167,0.5505415162454874,28042,7542,687166,722750
T1_paired,0,7,12077669952791,12077670045041,12077670111791,66750,12077670112666,12077670149416,36750,875,0.550561797752809,26667,4500,235000,266167
T1_paired,0,8,12077670438875,12077670561291,12077670628250,66959,12077670629125,12077670666000,36875,875,0.5507101360534058,23042,4750,289208,317000
T1_paired,0,9,12077670990583,12077671112958,12077671180083,67125,12077671181208,12077671218041,36833,1125,0.5487225325884544,23458,4417,294125,322000
T1_paired,0,10,12077671557458,12077671650666,12077671717666,67000,12077671718541,12077671755416,36875,875,0.5503731343283582,22083,4125,236417,262625
T1_paired,0,11,12077672044250,12077672169750,12077672236875,67125,12077672238041,12077672275083,37042,1166,0.5518361266294227,22666,4500,301084,328250
T1_paired,0,12,12077672655500,12077672773000,12077672839958,66958,12077672840750,12077672877541,36791,792,0.5494638430060635,22333,4292,262625,289250
