condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
ref_alone,0,0,141343132317958,141343132653500,141343132760708,107208,125708,26334,416333,568375
ref_alone,0,1,141343133637416,141343133812375,141343133918375,106000,38375,11541,464875,514791
ref_alone,0,2,141343134689625,141343134871583,141343134977541,105958,37416,13834,358083,409333
ref_alone,0,3,141343135580000,141343135745083,141343135850875,105792,34209,12791,348167,395167
ref_alone,0,4,141343136451041,141343136615791,141343136721708,105917,38083,13333,343709,395125
ref_alone,0,5,141343137308416,141343137486041,141343137592041,106000,34625,12750,350375,397750
ref_alone,0,6,141343139190000,141343139499833,141343139605625,105792,78750,25167,457541,561458
ref_alone,0,7,141343140333208,141343140533333,141343140639125,105792,47084,21291,373500,441875
ref_alone,0,8,141343141307291,141343141498500,141343141604375,105875,45667,17250,373667,436584
ref_alone,0,9,141343142258541,141343142441333,141343142547208,105875,45875,17167,363333,426375
ref_alone,0,10,141343143218916,141343143394208,141343143503250,109042,45959,17250,352041,415250
ref_alone,0,11,141343144151208,141343144335125,141343144441083,105958,48916,17417,361042,427375
ref_alone,0,12,141343145097125,141343145342708,141343145448541,105833,47709,17333,497250,562292
ref_alone,0,13,141343146370541,141343146592083,141343146697875,105792,60459,21125,392000,473584
ref_alone,0,14,141343147419750,141343147628583,141343147734458,105875,58625,18333,372667,449625
ref_alone,0,15,141343148392416,141343148572500,141343148678458,105958,44250,17083,363583,424916
ref_alone,0,16,141343149349041,141343149534458,141343149640458,106000,44500,17375,355208,417083
ref_alone,0,17,141343150271375,141343150451291,141343150557291,106000,43542,17250,355958,416750
ref_alone,0,18,141343151207458,141343151386583,141343151492458,105875,46709,17958,358708,423375
ref_alone,0,19,141343152131166,141343152301125,141343152406875,105750,44083,17084,351000,412167
ref_alone,0,20,141343153061500,141343153231041,141343153336708,105667,44250,17375,350667,412292
ref_alone,0,21,141343154105875,141343154313250,141343154419000,105750,46916,18584,395791,461291
ref_alone,0,22,141343156664500,141343156897500,141343157003500,106000,72041,22209,383916,478166
ref_alone,0,23,141343157688458,141343157908250,141343158014166,105916,55250,18125,390875,464250
ref_alone,0,24,141343158675666,141343158871750,141343158977708,105958,48375,17875,368916,435166
ref_alone,0,25,141343159828000,141343160031541,141343160137333,105792,49375,18209,383791,451375
ref_alone,0,26,141343160845791,141343161040750,141343161149958,109208,47958,17542,381708,447208
ref_alone,0,27,141343161838500,141343162050916,141343162156750,105834,49916,19042,397250,466208
ref_alone,0,28,141343163018875,141343163215166,141343163321000,105834,49792,18041,376584,444417
ref_alone,0,29,141343163975791,141343164148958,141343164254708,105750,46250,17583,351917,415750
ref_alone,0,30,141343164894916,141343165066458,141343165172208,105750,45917,16917,350041,412875
ref_alone,0,31,141343165865541,141343166073625,141343166179458,105833,46208,17958,424084,488250
ref_alone,0,32,141343167021625,141343167244041,141343167349833,105792,50375,17667,419583,487625
ref_alone,0,33,141343168287833,141343168423875,141343168529625,105750,30541,11375,309417,351333
ref_alone,0,34,141343169066791,141343169271750,141343169377541,105791,36709,10541,379584,426834
ref_alone,0,35,141343169990166,141343170113125,141343170223291,110166,22458,9417,303916,335791
ref_alone,0,36,141343170686375,141343170811583,141343170917541,105958,21250,8334,314541,344125
ref_alone,0,37,141343171410916,141343171540791,141343171646708,105917,21708,9042,310958,341708
ref_alone,0,38,141343172125083,141343172249833,141343172355750,105917,22542,8333,297875,328750
ref_alone,0,39,141343172824875,141343172946541,141343173052500,105959,21375,8125,298125,327625
ref_alone,0,40,141343173538208,141343173657541,141343173767625,110084,25125,8208,297000,330333
ref_alone,0,41,141343174252000,141343174365708,141343174476000,110292,21709,8250,299583,329542
ref_alone,0,42,141343174980291,141343175131958,141343175237708,105750,51791,9000,298584,359375
ref_alone,0,43,141343177670500,141343177915625,141343178021625,106000,79667,22792,392416,494875
ref_alone,0,44,141343178721333,141343178862416,141343178968291,105875,26667,9750,308833,345250
ref_alone,0,45,141343179577000,141343179706875,141343179812625,105750,24250,9291,310542,344083
ref_alone,0,46,141343180304500,141343180425625,141343180531333,105708,24250,9417,1199375,1233042
ref_alone,0,47,141343182009208,141343182147791,141343182253458,105667,34959,12708,300125,347792
ref_alone,0,48,141343182737458,141343182867916,141343182974125,106209,24792,9833,375000,409625
ref_alone,0,49,141343183568916,141343183700000,141343183805916,105916,27708,10209,306416,344333
ref_alone,0,50,141343184321041,141343184444750,141343184550750,106000,22500,8583,303500,334583
ref_alone,0,51,141343185022791,141343185155916,141343185261916,106000,23000,9000,313333,345333
ref_alone,0,52,141343185750958,141343185886375,141343185992416,106041,22084,8375,317875,348334
ref_alone,0,53,141343186474291,141343186597000,141343186703000,106000,22666,9375,294875,326916
ref_alone,0,54,141343187169250,141343187293375,141343187399250,105875,21625,10959,295750,328334
ref_alone,0,55,141343187896625,141343188008375,141343188114083,105708,22208,8334,299250,329792
ref_alone,0,56,141343188686250,141343188913833,141343189019875,106042,26041,10375,399792,436208
ref_alone,0,57,141343189520916,141343189634375,141343189744083,109708,21791,8417,302292,332500
ref_alone,0,58,141343190256333,141343190385375,141343190491333,105958,22125,8209,313708,344042
ref_alone,0,59,141343190962750,141343191091875,141343191197916,106041,23167,8542,311875,343584
ref_alone,0,60,141343191665833,141343191798458,141343191904291,105833,22375,8833,305792,337000
ref_alone,0,61,141343192375083,141343192498208,141343192604166,105958,21750,8125,298625,328500
ref_alone,0,62,141343193087041,141343193207250,141343193313166,105916,21500,8250,314666,344416
ref_alone,0,63,141343193871333,141343194012083,141343194118041,105958,32625,12666,328042,373333
ref_alone,0,64,141343194661666,141343194799083,141343194904958,105875,32667,12458,311292,356417
ref_alone,0,65,141343195438500,141343195559625,141343195665416,105791,21834,8333,307042,337209
ref_alone,0,66,141343196296708,141343196416208,141343196522041,105833,21542,8542,343583,373667
ref_alone,0,67,141343197099458,141343197234750,141343197340791,106041,29667,8958,1867959,1906584
ref_alone,0,68,141343199518625,141343199646208,141343199751958,105750,29000,10958,298250,338208
ref_alone,0,69,141343200224541,141343200350333,141343200456083,105750,26916,9709,369208,405833
ref_alone,0,70,141343201048041,141343201188000,141343201293750,105750,24250,33792,289166,347208
ref_alone,0,71,141343201799708,141343201913208,141343202022875,109667,21917,8375,298500,328792
ref_alone,0,72,141343202516666,141343202629416,141343202739041,109625,22958,8334,295333,326625
ref_alone,0,73,141343203250333,141343203592083,141343203698541,106458,188084,8833,362292,559209
ref_alone,0,74,141343204190250,141343204334208,141343204440291,106083,24584,9291,319959,353834
ref_alone,0,75,141343205001791,141343205128541,141343205234291,105750,25750,10291,304959,341000
ref_alone,0,76,141343205854500,141343205973708,141343206079625,105917,22500,8250,293875,324625
ref_alone,0,77,141343206576416,141343206689083,141343206799166,110083,22375,8166,298834,329375
ref_alone,0,78,141343207275041,141343207391500,141343207497416,105916,22375,8167,297083,327625
ref_alone,0,79,141343207967500,141343208086666,141343208192666,106000,21417,8166,300750,330333
ref_alone,0,80,141343208664541,141343208784208,141343208890208,106000,21583,8292,301500,331375
ref_alone,0,81,141343209366250,141343209487000,141343209593000,106000,22125,8209,304666,335000
ref_alone,0,82,141343210063541,141343210186041,141343210292083,106042,21041,8667,303417,333125
ref_alone,0,83,141343210758500,141343210892875,141343210998791,105916,29500,8459,309875,347834
ref_alone,0,84,141343211471750,141343211601375,141343211707375,106000,21667,8458,311292,341417
ref_alone,0,85,141343212271500,141343212384000,141343212489708,105708,22125,8208,291959,322292
ref_alone,0,86,141343213093625,141343213233583,141343213339375,105792,27875,9542,307791,345208
ref_alone,0,87,141343215181041,141343215381625,141343215487375,105750,39500,13458,375792,428750
ref_alone,0,88,141343216018041,141343216153333,141343216259083,105750,24167,9208,319250,352625
ref_alone,0,89,141343216801083,141343216923166,141343217033583,110417,26375,9167,294541,330083
ref_alone,0,90,141343217523375,141343217634500,141343217744750,110250,22042,8458,289417,319917
ref_alone,0,91,141343218216333,141343218336208,141343218442250,106042,21459,8500,297958,327917
ref_alone,0,92,141343219065583,141343219211916,141343219317916,106000,25208,9125,326167,360500
ref_alone,0,93,141343219827500,141343219953625,141343220059666,106041,22708,8292,295458,326458
ref_alone,0,94,141343220577000,141343220715000,141343220820750,105750,24291,8667,320833,353791
ref_alone,0,95,141343221316291,141343221435541,141343221545541,110000,22875,8959,293125,324959
ref_alone,0,96,141343222045708,141343222267750,141343222373583,105833,25584,9833,405417,440834
ref_alone,0,97,141343222888791,141343223009500,141343223119666,110166,22500,8708,304042,335250
ref_alone,0,98,141343223615416,141343223737208,141343223842916,105708,31458,8375,285084,324917
ref_alone,0,99,141343224318916,141343224432583,141343224538291,105708,23166,8709,292541,324416
ref_alone,0,100,141343225129958,141343225261250,141343225367125,105875,33709,8666,294084,336459
ref_alone,0,101,141343225857500,141343225978250,141343226084291,106041,21750,8000,295584,325334
ref_alone,0,102,141343226551375,141343226661791,141343226767416,105625,20959,8083,288250,317292
ref_alone,0,103,141343227251000,141343227360583,141343227470333,109750,21500,8084,291375,320959
ref_alone,0,104,141343227945458,141343228053791,141343228163416,109625,20833,8375,287333,316541
ref_alone,0,105,141343228630833,141343228899541,141343229005458,105917,116083,17667,538291,672041
ref_alone,0,106,141343230705583,141343230862208,141343230968041,105833,29375,11333,334375,375083
ref_alone,0,107,141343231571875,141343231694416,141343231800125,105709,26459,9666,293209,329334
ref_alone,0,108,141343232519041,141343232657833,141343232764041,106208,27875,10000,317167,355042
ref_alone,0,109,141343233279083,141343233412500,141343233518291,105791,24833,9208,310750,344791
ref_alone,0,110,141343234019750,141343234237125,141343234346791,109666,125208,8792,300000,434000
ref_alone,0,111,141343234814583,141343234936541,141343235042458,105917,21834,9375,296583,327792
ref_alone,0,112,141343235507125,141343235625458,141343235731166,105708,21917,8333,307459,337709
ref_alone,0,113,141343236216500,141343236368333,141343236474333,106000,47459,8166,313375,369000
ref_alone,0,114,141343236965166,141343237155208,141343237260958,105750,97542,9166,2704834,2811542
ref_alone,0,115,141343240697208,141343240831958,141343240938083,106125,30209,10458,315542,356209
ref_alone,0,116,141343241448083,141343241572708,141343241678541,105833,22667,9042,305291,337000
ref_alone,0,117,141343242149333,141343242280666,141343242386375,105709,21959,8958,338792,369709
ref_alone,0,118,141343242920000,141343243044333,141343243150333,106000,23333,9042,292208,324583
ref_alone,0,119,141343243628375,141343243741250,141343243851500,110250,22208,8542,291292,322042
