monotonic_ns,phase,target_busy_fraction
13455043482708,baseline,0.00
13465049013041,step_000pct,0.00
13473054206708,step_025pct,0.25
13481056771125,step_050pct,0.50
13489060116333,step_075pct,0.75
13497060887375,step_100pct,1.00
13505061303375,tail,0.00
13515065214708,stopped,0.00
