iso_ts,monotonic_ns,device_util_pct,renderer_util_pct,tiler_util_pct,in_use_system_memory_bytes,recovery_count,ioreg_subprocess_ms
2026-04-28T14:16:16.988051,13455041838833,0,0,0,1261109248,0,16.365
2026-04-28T14:16:17.096396,13455146920916,0,0,0,1261109248,0,19.623
2026-04-28T14:16:17.196406,13455245719291,0,0,0,1596407808,0,20.847
2026-04-28T14:16:17.301400,13455346962958,0,0,0,1596850176,0,24.581
2026-04-28T14:16:17.398809,13455446901125,0,0,0,1596997632,0,22.065
2026-04-28T14:16:17.500026,13455546051333,0,0,0,1826226176,0,24.123
2026-04-28T14:16:17.599494,13455646939250,0,0,0,1826226176,0,22.711
2026-04-28T14:16:17.695443,13455742290833,0,0,0,1826226176,0,23.298
2026-04-28T14:16:17.799789,13455846940458,0,0,0,1826226176,0,23.001
2026-04-28T14:16:17.896037,13455946887291,0,0,0,1826226176,0,19.307
2026-04-28T14:16:17.995784,13456046459250,0,0,0,1826226176,0,19.482
2026-04-28T14:16:18.099857,13456146897916,0,0,0,1826226176,0,23.115
2026-04-28T14:16:18.196713,13456246912083,0,0,0,1803288576,0,19.959
2026-04-28T14:16:18.296772,13456345345458,0,0,0,1841512448,0,21.584
2026-04-28T14:16:18.398219,13456446935500,0,0,0,1841512448,0,21.442
2026-04-28T14:16:18.498336,13456545962375,0,0,0,1550090240,0,22.532
2026-04-28T14:16:18.600335,13456646914625,0,0,0,1550090240,0,23.564
2026-04-28T14:16:18.700362,13456746896708,0,0,0,1320534016,0,23.622
2026-04-28T14:16:18.795491,13456846876958,0,0,0,1320534016,0,18.775
2026-04-28T14:16:18.898157,13456946918500,0,0,0,1320534016,0,21.384
2026-04-28T14:16:18.995817,13457046887541,0,0,0,1320534016,0,19.09
2026-04-28T14:16:19.097329,13457146932416,0,0,0,1320534016,0,20.54
2026-04-28T14:16:19.198045,13457246916208,0,0,0,1320534016,0,21.264
2026-04-28T14:16:19.297689,13457346916375,0,0,0,1320730624,0,20.929
2026-04-28T14:16:19.398037,13457446916458,0,0,0,1320730624,0,21.278
2026-04-28T14:16:19.498701,13457546884791,0,0,0,1261240320,0,21.962
2026-04-28T14:16:19.598854,13457646892041,0,0,0,1261240320,0,22.118
2026-04-28T14:16:19.700218,13457746916875,0,0,0,1261240320,0,23.451
2026-04-28T14:16:19.794942,13457846936166,0,0,0,1261240320,0,18.151
2026-04-28T14:16:19.897654,13457946890541,0,0,0,1261240320,0,20.923
2026-04-28T14:16:19.993546,13458043864625,0,0,0,1285226496,0,19.83
2026-04-28T14:16:20.097044,13458146877541,0,0,0,1285226496,0,20.306
2026-04-28T14:16:20.198347,13458246906791,0,0,0,1285472256,0,21.594
2026-04-28T14:16:20.298186,13458345970166,0,0,0,1285947392,0,22.365
2026-04-28T14:16:20.398509,13458446925666,0,0,0,1285947392,0,21.707
2026-04-28T14:16:20.497133,13458543478583,0,0,0,1285488640,0,23.807
2026-04-28T14:16:20.596940,13458644316916,0,0,0,1285488640,0,22.763
2026-04-28T14:16:20.695694,13458746885333,0,0,0,1285488640,0,18.948
2026-04-28T14:16:20.796981,13458845962250,0,0,0,1285488640,0,21.176
2026-04-28T14:16:20.897192,13458945958416,0,0,0,1285488640,0,21.387
2026-04-28T14:16:20.997189,13459046918291,0,0,0,1285488640,0,20.413
2026-04-28T14:16:21.093962,13459143140916,0,0,0,1285488640,0,20.974
2026-04-28T14:16:21.197205,13459245928000,0,0,0,1261748224,0,21.423
2026-04-28T14:16:21.300601,13459346911333,0,0,0,1261748224,0,23.805
2026-04-28T14:16:21.400961,13459446933125,0,0,0,1261748224,0,24.17
2026-04-28T14:16:21.499635,13459546905875,0,0,0,1287421952,0,22.875
2026-04-28T14:16:21.597272,13459646889166,0,0,0,1287421952,0,20.522
2026-04-28T14:16:21.693178,13459746882000,0,0,0,1287421952,0,16.454
2026-04-28T14:16:21.796767,13459846915791,0,0,0,1287421952,0,20.007
2026-04-28T14:16:21.897830,13459946906208,0,0,0,1287421952,0,21.063
2026-04-28T14:16:21.996750,13460046907750,0,0,0,1287421952,0,19.992
2026-04-28T14:16:22.097677,13460146890875,0,0,0,1287421952,0,20.937
2026-04-28T14:16:22.199967,13460246910625,0,0,0,1287421952,0,23.201
2026-04-28T14:16:22.299736,13460346915458,0,0,0,1287815168,0,22.972
2026-04-28T14:16:22.398365,13460446879791,0,0,0,1287815168,0,21.637
2026-04-28T14:16:22.498436,13460545962250,0,0,0,1517240320,0,22.626
2026-04-28T14:16:22.600152,13460646921958,0,0,0,1517240320,0,23.379
2026-04-28T14:16:22.693097,13460743675666,0,0,0,1491107840,0,19.571
2026-04-28T14:16:22.798511,13460846911583,0,0,0,1491107840,0,21.746
2026-04-28T14:16:22.898794,13460946894833,0,0,0,1491107840,0,22.05
2026-04-28T14:16:22.996066,13461045920750,0,0,0,1491107840,0,20.29
2026-04-28T14:16:23.097159,13461146876375,0,0,0,1491353600,0,20.421
2026-04-28T14:16:23.199460,13461246882375,0,0,0,1491107840,0,22.722
2026-04-28T14:16:23.297338,13461346914625,0,0,0,1491369984,0,20.571
2026-04-28T14:16:23.397613,13461446883458,0,0,0,1491369984,0,20.88
2026-04-28T14:16:23.498950,13461546904958,0,0,0,1491107840,0,22.185
2026-04-28T14:16:23.592253,13461642838625,0,0,0,1491107840,0,19.556
2026-04-28T14:16:23.700489,13461746919208,0,0,0,1261551616,0,23.711
2026-04-28T14:16:23.800408,13461846894916,0,0,0,1261551616,0,23.66
2026-04-28T14:16:23.897856,13461946909041,0,0,0,1261551616,0,21.094
2026-04-28T14:16:23.997879,13462046902125,0,0,0,1261551616,0,21.117
2026-04-28T14:16:24.096870,13462146905583,0,0,0,1261780992,0,20.1
2026-04-28T14:16:24.196006,13462246873625,0,0,0,1261535232,0,19.282
2026-04-28T14:16:24.298154,13462346905833,0,0,0,1261797376,0,21.399
