sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,spaced1s,3812337559875,3812337566083,6208,8333,2792,111250,122375
1,spaced1s,3813343490750,3813343499500,8750,141500,33292,611166,785958
2,spaced1s,3814348370333,3814348380000,9667,71375,18000,716791,806166
3,spaced1s,3815354322291,3815354331666,9375,63708,17292,700333,781333
4,spaced1s,3816360361541,3816360370250,8709,124167,31000,579541,734708
5,spaced1s,3817363916875,3817363926291,9416,72208,16375,653875,742458
6,spaced1s,3818364695458,3818364703958,8500,64334,14666,195167,274167
7,spaced1s,3819370667250,3819370675875,8625,126917,27625,688708,843250
8,spaced1s,3820376768916,3820376778875,9959,122125,31917,623458,777500
9,spaced1s,3821382355291,3821382364916,9625,125708,30584,248833,405125
10,spaced1s,3822385609041,3822385619291,10250,127333,29875,662833,820041
11,spaced1s,3823390671625,3823390681583,9958,116292,26375,263667,406334
12,spaced1s,3824392209083,3824392218250,9167,128541,31584,668541,828666
13,spaced1s,3825393806250,3825393815166,8916,148333,36625,688292,873250
14,spaced1s,3826399835083,3826399844375,9292,159167,31000,652792,842959
15,spaced1s,3827405684625,3827405694458,9833,82833,21375,734708,838916
16,spaced1s,3828410069750,3828410078083,8333,51166,13584,423625,488375
17,spaced1s,3829414957500,3829414967375,9875,79875,50000,195333,325208
18,spaced1s,3830416413125,3830416422208,9083,90000,23417,631083,744500
19,spaced1s,3831421179208,3831421189291,10083,108125,16917,687208,812250
20,spaced1s,3832427396666,3832427405875,9209,148458,37209,733500,919167
21,spaced1s,3833433138541,3833433147625,9084,83334,21041,682250,786625
22,spaced1s,3834434199291,3834434209208,9917,79000,20375,642000,741375
23,spaced1s,3835438048750,3835438057750,9000,133333,44708,822250,1000291
24,spaced1s,3836441070416,3836441079791,9375,125417,29125,245000,399542
25,spaced1s,3837446340666,3837446349791,9125,239500,32750,855834,1128084
26,spaced1s,3838448753708,3838448762000,8292,127208,19292,170625,317125
27,spaced1s,3839451983541,3839451991833,8292,57208,14917,501208,573333
28,spaced1s,3840457932791,3840457941500,8709,140917,19167,607625,767709
29,spaced1s,3841464301375,3841464310541,9166,138083,129500,807084,1074667
30,spaced1s,3842467586750,3842467595916,9166,144083,34417,643750,822250
31,spaced1s,3843473077875,3843473097458,19583,234042,30375,398667,663084
32,spaced1s,3844477433583,3844477443375,9792,118583,28417,683458,830458
33,spaced1s,3845482711750,3845482720000,8250,28167,7417,351291,386875
34,spaced1s,3846487429208,3846487438500,9292,175166,33917,681125,890208
35,spaced1s,3847493532750,3847493542291,9541,125958,33458,662584,822000
36,spaced1s,3848498771583,3848498780708,9125,58458,16250,192500,267208
37,spaced1s,3849504910708,3849504920333,9625,144708,33834,774666,953208
38,spaced1s,3850507598625,3850507625708,27083,129000,31167,727542,887709
39,spaced1s,3851512006541,3851512015750,9209,173791,35375,730542,939708
40,spaced1s,3852517737833,3852517746833,9000,134167,31708,607083,772958
41,spaced1s,3853523538875,3853523565458,26583,150750,26375,810167,987292
42,spaced1s,3854525173666,3854525183208,9542,79792,20375,286917,387084
43,spaced1s,3855530018416,3855530027666,9250,185000,42000,343041,570041
44,spaced1s,3856534051916,3856534061416,9500,122042,34583,627292,783917
45,spaced1s,3857536686708,3857536695750,9042,154208,36084,848916,1039208
46,spaced1s,3858540556375,3858540565750,9375,148375,39833,924375,1112583
47,spaced1s,3859542327500,3859542336541,9041,136667,38416,612292,787375
48,spaced1s,3860543572958,3860543581750,8792,66541,16834,246750,330125
49,spaced1s,3861548087583,3861548095625,8042,152500,59084,182500,394084
50,spaced1s,3862550025625,3862550034833,9208,129791,30750,579584,740125
51,spaced1s,3863556179041,3863556202333,23292,127958,29959,793500,951417
52,spaced1s,3864561048000,3864561057458,9458,141458,32250,620417,794125
53,spaced1s,3865567098250,3865567107250,9000,124875,30917,611208,767000
54,spaced1s,3866573735166,3866573758916,23750,188750,29500,995375,1213625
55,spaced1s,3867576707125,3867576716625,9500,190958,31959,650875,873792
56,spaced1s,3868581738958,3868581765583,26625,132958,35375,944708,1113041
57,spaced1s,3869588222125,3869588231208,9083,125000,55375,849083,1029458
58,spaced1s,3870589818375,3870589828833,10458,72458,20667,544208,637333
59,spaced1s,3871595899708,3871595909541,9833,131125,46166,737917,915208
60,spaced1s,3872600766583,3872600774875,8292,102542,17041,464042,583625
61,spaced1s,3873606614958,3873606636083,21125,76959,20458,763542,860959
62,spaced1s,3874607691625,3874607700166,8541,75667,19708,196834,292209
63,spaced1s,3875610406750,3875610416083,9333,138917,31125,642208,812250
64,spaced1s,3876614880458,3876614890083,9625,76500,19000,662666,758166
65,spaced1s,3877622229625,3877622239000,9375,583042,39125,943458,1565625
66,spaced1s,3878624562708,3878624587291,24583,78792,18333,533250,630375
67,spaced1s,3879626980416,3879626989500,9084,129458,26875,587792,744125
68,spaced1s,3880631330541,3880631339000,8459,79709,14458,581417,675584
69,spaced1s,3881637575916,3881637585000,9084,151416,30834,745625,927875
70,spaced1s,3882642685875,3882642694666,8791,145417,31708,251959,429084
71,spaced1s,3883644468833,3883644478541,9708,81167,19333,610709,711209
