sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
77,spaced1s,129417767633666,129417767647708,14042,118625,27292,750875,896792
78,spaced1s,129418773458583,129418773475291,16708,95250,23250,440166,558666
79,spaced1s,129419778474791,129419778490125,15334,108000,35167,732167,875334
80,spaced1s,129420784494458,129420784510666,16208,266792,117750,11867000,12251542
81,spaced1s,129421801669458,129421801684166,14708,106750,28917,750166,885833
82,spaced1s,129422805270791,129422805287291,16500,108333,25667,794542,928542
83,spaced1s,129423806965000,129423806979291,14291,92958,21958,889042,1003958
84,spaced1s,129424812859958,129424812876708,16750,105667,21500,438208,565375
85,spaced1s,129425818897833,129425818912083,14250,88791,19625,725792,834208
86,spaced1s,129426822362000,129426822376958,14958,105792,25458,835333,966583
87,spaced1s,129427825993833,129427826006125,12292,107292,32958,350375,490625
88,spaced1s,129428832119083,129428832136166,17083,114084,27083,801667,942834
89,spaced1s,129429838376875,129429838389375,12500,102958,25583,774625,903166
90,spaced1s,129430844081625,129430844094375,12750,89250,22709,323458,435417
91,spaced1s,129431850152125,129431850166458,14333,107375,26209,718875,852459
92,spaced1s,129432855352125,129432855367666,15541,95500,24667,451125,571292
93,spaced1s,129433861446166,129433861460416,14250,96500,27792,689500,813792
94,spaced1s,129434867663916,129434867679333,15417,119959,25375,795916,941250
95,spaced1s,129435869470375,129435869484958,14583,103667,22500,796833,923000
96,spaced1s,129436875560708,129436875577916,17208,101958,21875,686459,810292
97,spaced1s,129437881820000,129437881834083,14083,155125,25083,805042,985250
98,spaced1s,129438887275000,129438887290458,15458,97917,23208,781959,903084
99,spaced1s,129439893462000,129439893476333,14333,100083,28292,840750,969125
