sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,backtoback,129340341219791,129340341231541,11750,668917,35916,544292,1249125
1,backtoback,129340341692291,129340341700458,8167,33250,9417,214292,256959
2,backtoback,129340341974833,129340341983500,8667,29625,7542,156250,193417
3,backtoback,129340342178666,129340342186708,8042,15541,5334,152458,173333
4,backtoback,129340342365875,129340342373916,8041,11333,4208,149084,164625
5,backtoback,129340342543916,129340342551958,8042,12416,3792,152208,168416
6,backtoback,129340342724500,129340342732541,8041,8166,3750,174042,185958
7,backtoback,129340342947875,129340342956000,8125,14708,5417,160333,180458
8,backtoback,129340343136375,129340343144500,8125,9458,3875,168334,181667
9,backtoback,129340343338041,129340343346166,8125,8041,3250,171834,183125
10,backtoback,129340343519916,129340343527958,8042,7625,3250,152750,163625
11,backtoback,129340343703666,129340343711708,8042,8208,4250,157709,170167
12,backtoback,129340343885833,129340343894083,8250,7833,3375,162958,174166
13,backtoback,129340344076208,129340344084333,8125,8292,3083,169333,180708
14,backtoback,129340344269666,129340344277916,8250,8084,3250,169958,181292
15,backtoback,129340344470250,129340344478333,8083,8084,6083,171750,185917
16,backtoback,129340344652083,129340344660125,8042,8125,3167,156250,167542
17,backtoback,129340344834291,129340344842333,8042,9291,3125,193625,206041
18,backtoback,129340345079500,129340345087583,8083,10917,4541,178709,194167
19,backtoback,129340345310750,129340345318875,8125,17416,6959,177958,202333
20,backtoback,129340345520583,129340345528666,8083,14250,4958,166834,186042
21,backtoback,129340345777000,129340345785208,8208,14958,7458,214584,237000
22,backtoback,129340346010958,129340346019041,8083,17417,7750,176083,201250
23,backtoback,129340346209958,129340346218000,8042,10917,6375,174166,191458
24,backtoback,129340346455541,129340346463708,8167,16791,6584,186625,210000
25,backtoback,129340346679875,129340346687916,8041,17083,7542,161166,185791
26,backtoback,129340346891625,129340346899750,8125,15083,4625,205625,225333
27,backtoback,129340347151291,129340347159541,8250,15417,6333,186000,207750
28,backtoback,129340347354541,129340347362541,8000,10083,4208,165250,179541
29,backtoback,129340347553000,129340347561250,8250,9833,4292,180916,195041
30,backtoback,129340347768083,129340347776166,8083,9167,4083,168958,182208
31,backtoback,129340347958583,129340347966666,8083,9334,4166,189834,203334
32,backtoback,129340348225083,129340348233291,8208,16792,6041,236834,259667
33,backtoback,129340348482458,129340348490541,8083,12250,4875,186875,204000
34,backtoback,129340348707791,129340348715916,8125,12000,4750,188375,205125
35,backtoback,129340348959750,129340348967875,8125,10083,4375,227583,242041
36,backtoback,129340349201625,129340349209708,8083,16083,8417,188041,212541
