sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
37,backtoback,129340349434000,129340349442041,8041,16209,5458,175667,197334
38,backtoback,129340349639083,129340349647125,8042,9709,4750,188791,203250
39,backtoback,129340349893041,129340349901125,8084,17916,7834,191958,217708
40,backtoback,129340350129333,129340350141000,11667,13125,4375,223583,241083
41,backtoback,129340350372708,129340350380750,8042,8792,3792,180333,192917
42,backtoback,129340350590541,129340350598666,8125,11625,4833,172333,188791
43,backtoback,129340350810458,129340350818458,8000,9584,4833,195500,209917
44,backtoback,129340351036291,129340351044458,8167,15667,6417,191125,213209
45,backtoback,129340351275875,129340351283958,8083,14250,5250,175916,195416
46,backtoback,129340351476625,129340351484708,8083,8875,4375,185583,198833
47,backtoback,129340351700000,129340351708041,8041,12375,5334,174750,192459
48,backtoback,129340351904416,129340351912416,8000,10208,4542,184208,198958
49,backtoback,129340352129666,129340352137791,8125,9708,4167,201875,215750
50,backtoback,129340352364166,129340352372291,8125,10042,4292,202666,217000
51,backtoback,129340352590708,129340352598708,8000,8917,4291,197042,210250
52,backtoback,129340352820083,129340352828250,8167,8333,4000,178209,190542
53,backtoback,129340353032000,129340353957583,925583,8625,4333,1154000,1166958
54,backtoback,129340354238250,129340354246291,8041,15917,5583,182167,203667
55,backtoback,129340354433791,129340354441791,8000,9166,3834,183041,196041
56,backtoback,129340354641041,129340354649083,8042,8792,3541,181417,193750
57,backtoback,129340354860833,129340354869041,8208,8916,3500,218042,230458
58,backtoback,129340355185208,129340355193291,8083,24625,8000,212208,244833
59,backtoback,129340355436333,129340355444500,8167,14958,5875,182917,203750
60,backtoback,129340355668708,129340355677083,8375,14250,5459,216875,236584
61,backtoback,129340355938625,129340355946750,8125,13167,4541,219917,237625
62,backtoback,129340356174500,129340356182583,8083,8708,3375,255250,267333
63,backtoback,129340356481458,129340356489541,8083,14041,5042,188042,207125
64,backtoback,129340356700916,129340356708958,8042,14625,5041,197292,216958
65,backtoback,129340356918541,129340356926583,8042,10500,4250,160916,175666
66,backtoback,129340357124916,129340357132958,8042,9416,4125,224834,238375
67,backtoback,129340357387208,129340357395333,8125,11458,4000,186084,201542
68,backtoback,129340357590708,129340357598708,8000,8458,4417,195666,208541
69,backtoback,129340357826500,129340357834583,8083,13792,4625,185042,203459
70,backtoback,129340358044208,129340358052333,8125,11708,4292,212667,228667
71,backtoback,129340358293250,129340358301333,8083,10167,3833,188458,202458
72,backtoback,129340358506458,129340358514625,8167,8125,49417,155625,213167
73,backtoback,129340358736916,129340358745041,8125,9125,13250,196584,218959
74,backtoback,129340358970291,129340358978541,8250,12458,3417,205917,221792
75,backtoback,129340359194541,129340359202583,8042,11542,3833,179833,195208
76,backtoback,129340359408000,129340359416125,8125,8959,3291,195834,208084
77,backtoback,129340359638666,129340359646791,8125,8417,3167,186125,197709
78,backtoback,129340359861708,129340359869791,8083,9208,4500,202750,216458
79,backtoback,129340360085791,129340360093875,8084,8708,3667,223000,235375
80,backtoback,129340360340833,129340360348958,8125,11250,4500,205166,220916
81,backtoback,129340360583208,129340360591250,8042,10292,3333,183667,197292
82,backtoback,129340360794458,129340360802500,8042,8875,3792,181000,193667
83,backtoback,129340361002041,129340361010083,8042,8583,3459,183291,195333
84,backtoback,129340361230833,129340361238916,8083,10666,3542,199333,213541
85,backtoback,129340361460916,129340361469000,8084,8208,3042,198208,209458
86,backtoback,129340361685333,129340361693416,8083,8167,3250,204583,216000
87,backtoback,129340361916250,129340361924458,8208,9667,3708,211292,224667
88,backtoback,129340362153291,129340362161375,8084,8333,3250,227250,238833
89,backtoback,129340362424708,129340362433375,8667,15250,6125,202583,223958
90,backtoback,129340362655500,129340362663583,8083,13084,3833,178583,195500
91,backtoback,129340362867000,129340362875041,8041,9375,3875,190250,203500
92,backtoback,129340363088666,129340363096750,8084,8375,3167,176958,188500
93,backtoback,129340363325375,129340363333416,8041,10500,3959,200875,215334
94,backtoback,129340363531583,129340363539583,8000,13958,3167,163250,180375
95,backtoback,129340363722791,129340363730791,8000,8459,4958,215458,228875
96,backtoback,129340365383875,129340365391916,8041,16792,8083,4351542,4376417
97,backtoback,129340368732000,129340368743041,11041,25875,7208,1185084,1218167
98,backtoback,129340369742875,129340369751000,8125,15625,6792,882583,905000
99,backtoback,129340370733791,129340370741875,8084,15875,6125,309958,331958
