# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  16:54:18   1658 mW   3395 mW      0 mW    589 mW   1084 mW   1516 mW    198 mW    476 mW      2 mW      2 mW      0 mW
  16:54:18     53 mW   1249 mW      0 mW    334 mW    588 mW    676 mW      2 mW    458 mW      2 mW      2 mW      0 mW
  16:54:19    118 mW   1119 mW      0 mW    300 mW    532 mW    638 mW      2 mW    449 mW      2 mW      2 mW      0 mW
  16:54:19   2674 mW   2793 mW      0 mW    615 mW   1260 mW   1612 mW    303 mW    445 mW      2 mW      2 mW      0 mW
  16:54:20   3912 mW   3693 mW      0 mW    650 mW   1298 mW   1782 mW    533 mW    441 mW      0 mW      2 mW      0 mW
  16:54:20     56 mW   1631 mW      0 mW    332 mW    657 mW    666 mW     20 mW    435 mW      2 mW      2 mW      0 mW
  16:54:20     12 mW   1103 mW      0 mW    280 mW    493 mW    528 mW      2 mW    446 mW      2 mW      0 mW      0 mW
  16:54:21   5226 mW   2298 mW      0 mW    566 mW   1199 mW   1541 mW    571 mW    463 mW      2 mW      2 mW      0 mW
  16:54:21   6419 mW   3329 mW      0 mW    606 mW   1314 mW   1764 mW    857 mW    441 mW      2 mW      2 mW      0 mW
  16:54:22   1759 mW   2461 mW      0 mW    418 mW    771 mW   1006 mW    312 mW    418 mW      2 mW      2 mW      0 mW
  16:54:22     66 mW   1122 mW      0 mW    314 mW    568 mW    656 mW      2 mW    453 mW      2 mW      2 mW      0 mW
  16:54:23   1539 mW   1213 mW      0 mW    329 mW    708 mW    665 mW    115 mW    468 mW      2 mW      2 mW      0 mW
  16:54:23  12377 mW   2476 mW      0 mW    603 mW   1369 mW   1717 mW   1616 mW    445 mW      0 mW      2 mW      0 mW
  16:54:24  13873 mW   2744 mW      0 mW    663 mW   1379 mW   1756 mW   1803 mW    436 mW      2 mW      2 mW      0 mW
  16:54:24  12546 mW   2709 mW      0 mW    661 mW   1384 mW   1742 mW   1659 mW    443 mW      2 mW      0 mW      0 mW
  16:54:24   2027 mW   1784 mW      0 mW    315 mW    582 mW    696 mW    406 mW    404 mW      2 mW      2 mW      0 mW
  16:54:25     28 mW   1085 mW      0 mW    336 mW    578 mW    548 mW      2 mW    448 mW      2 mW      2 mW      0 mW
  16:54:25  14288 mW   1496 mW      0 mW    618 mW   1184 mW   1471 mW   1683 mW    455 mW      2 mW      2 mW      0 mW
  16:54:26  27508 mW   2515 mW      0 mW    878 mW   1573 mW   1988 mW   3525 mW    472 mW      2 mW      2 mW      0 mW
  16:54:26  24192 mW   2306 mW      0 mW    785 mW   1404 mW   1774 mW   3148 mW    424 mW      2 mW      2 mW      0 mW
  16:54:27  25205 mW   2821 mW      0 mW    899 mW   1537 mW   1932 mW   3349 mW    451 mW      2 mW      2 mW      0 mW
  16:54:27  16036 mW   2351 mW      0 mW    728 mW   1251 mW   1592 mW   2548 mW    416 mW      0 mW      2 mW      0 mW
  16:54:28     53 mW   1021 mW      0 mW    284 mW    486 mW    575 mW      4 mW    432 mW      2 mW      2 mW      0 mW
  16:54:28   1762 mW    982 mW      0 mW    271 mW    469 mW    534 mW      2 mW    455 mW      2 mW      2 mW      0 mW
  16:54:28  39027 mW   1292 mW      0 mW   1067 mW   2120 mW   1979 mW   5208 mW    466 mW      2 mW      2 mW      0 mW
  16:54:29  37992 mW   1809 mW      0 mW   1544 mW   2186 mW   2234 mW   5128 mW    436 mW      2 mW      2 mW      0 mW
  16:54:29  37973 mW   1824 mW      0 mW   1602 mW   2242 mW   2312 mW   5161 mW    440 mW      2 mW      5 mW      0 mW
  16:54:30  38333 mW   1823 mW      0 mW   1612 mW   2245 mW   2313 mW   5177 mW    465 mW      5 mW      5 mW      0 mW
  16:54:30  37901 mW   1711 mW      0 mW   1596 mW   2233 mW   2301 mW   5156 mW    467 mW      5 mW      2 mW      0 mW
  16:54:31  40306 mW   1859 mW      0 mW   1694 mW   2343 mW   2412 mW   5397 mW    491 mW      5 mW      5 mW      0 mW
  16:54:31  36606 mW   1751 mW      0 mW   1554 mW   2156 mW   2214 mW   4954 mW    452 mW      2 mW      5 mW      0 mW
  16:54:32  38246 mW   1731 mW      0 mW   1588 mW   2218 mW   2295 mW   5120 mW    476 mW      5 mW      5 mW      0 mW
  16:54:32  40237 mW   1765 mW      0 mW   1673 mW   2319 mW   2392 mW   5381 mW    493 mW      5 mW      2 mW      0 mW
  16:54:32  38730 mW   1765 mW      0 mW   1612 mW   2237 mW   2307 mW   5195 mW    474 mW      2 mW      5 mW      0 mW
  16:54:33   4386 mW   1472 mW      0 mW    520 mW    799 mW    856 mW    987 mW    452 mW      4 mW      4 mW      0 mW
  16:54:33     43 mW   1014 mW      0 mW    286 mW    543 mW    591 mW      2 mW    463 mW      4 mW      4 mW      0 mW
  16:54:34  29139 mW   1120 mW      0 mW   1926 mW   1944 mW   2221 mW   3453 mW    510 mW      5 mW      2 mW      0 mW
  16:54:34  48750 mW   1712 mW      0 mW   3331 mW   2906 mW   3265 mW   6547 mW    493 mW      5 mW      5 mW      0 mW
  16:54:35  44611 mW   1563 mW      0 mW   3180 mW   2679 mW   3052 mW   5999 mW    453 mW      2 mW      5 mW      0 mW
  16:54:35  48997 mW   2193 mW      0 mW   3555 mW   2974 mW   3364 mW   6534 mW    495 mW      5 mW      5 mW      0 mW
  16:54:35  45118 mW   1429 mW      0 mW   3165 mW   2662 mW   3040 mW   5995 mW    453 mW      5 mW      2 mW      0 mW
  16:54:36  44379 mW   1487 mW      0 mW   3294 mW   2780 mW   3170 mW   6211 mW    476 mW      5 mW      5 mW      0 mW
  16:54:36  39348 mW   1544 mW      0 mW   3246 mW   2743 mW   3151 mW   6077 mW    476 mW      2 mW      5 mW      0 mW
  16:54:37  35293 mW   1503 mW      0 mW   3108 mW   2658 mW   3068 mW   5849 mW    473 mW      5 mW      5 mW      0 mW
  16:54:37  33078 mW   1507 mW      0 mW   3115 mW   2717 mW   3143 mW   5915 mW    498 mW      5 mW      2 mW      0 mW
  16:54:38  29141 mW   1434 mW      0 mW   2797 mW   2458 mW   2842 mW   5343 mW    451 mW      5 mW      5 mW      0 mW
  16:54:38  28823 mW   1472 mW      0 mW   2885 mW   2557 mW   2921 mW   5532 mW    476 mW      2 mW      5 mW      0 mW
  16:54:39  23161 mW   1466 mW      0 mW   2576 mW   2316 mW   2623 mW   4923 mW    471 mW      4 mW      4 mW      0 mW
  16:54:39     71 mW   1012 mW      0 mW    346 mW    598 mW    727 mW      4 mW    454 mW      4 mW      2 mW      0 mW
  16:54:39     54 mW   1094 mW      0 mW    365 mW    586 mW    700 mW      2 mW    512 mW      4 mW      4 mW      0 mW
  16:54:40   1721 mW   3123 mW      0 mW    671 mW   1232 mW   1736 mW    104 mW    465 mW      4 mW      4 mW      0 mW
  16:54:40    988 mW   2676 mW      0 mW    526 mW    921 mW   1278 mW     84 mW    488 mW      2 mW      4 mW      0 mW
  16:54:41      7 mW   1028 mW      0 mW    309 mW    529 mW    590 mW      2 mW    453 mW      4 mW      4 mW      0 mW
  16:54:41    364 mW   1286 mW      0 mW    376 mW    696 mW    691 mW     18 mW    521 mW      5 mW      5 mW      0 mW
  16:54:42   2613 mW   3395 mW      0 mW    665 mW   1255 mW   1791 mW    168 mW    458 mW      4 mW      2 mW      0 mW
