# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:57:27    831 mW   4483 mW      0 mW   1085 mW   1412 mW   1819 mW    107 mW    318 mW      2 mW      2 mW      0 mW
  06:57:28    530 mW   2353 mW      0 mW    806 mW    974 mW   1081 mW     47 mW    302 mW      2 mW      0 mW      0 mW
  06:57:28    537 mW   2439 mW      0 mW    829 mW    901 mW   1099 mW     46 mW    333 mW      2 mW      2 mW      0 mW
  06:57:29   1638 mW   4832 mW      0 mW   1061 mW   1460 mW   1935 mW    176 mW    332 mW      2 mW      2 mW      0 mW
  06:57:29   1081 mW   5887 mW      0 mW   1188 mW   1589 mW   2047 mW    159 mW    330 mW      2 mW      2 mW      0 mW
  06:57:29    409 mW   2509 mW      0 mW    697 mW    949 mW   1054 mW     40 mW    292 mW      0 mW      2 mW      0 mW
  06:57:30    196 mW   2395 mW      0 mW    679 mW    795 mW   1082 mW     25 mW    267 mW      2 mW      2 mW      0 mW
  06:57:30   2276 mW   4010 mW      0 mW   1062 mW   1468 mW   1843 mW    252 mW    324 mW      2 mW      2 mW      0 mW
  06:57:31   1836 mW   5034 mW      0 mW   1167 mW   1554 mW   2009 mW    260 mW    325 mW      2 mW      2 mW      0 mW
  06:57:31   1502 mW   4632 mW      0 mW   1134 mW   1415 mW   1783 mW    240 mW    325 mW      2 mW      0 mW      0 mW
  06:57:32    443 mW   2308 mW      0 mW    755 mW    845 mW    953 mW     43 mW    311 mW      2 mW      2 mW      0 mW
  06:57:32    809 mW   2463 mW      0 mW    916 mW    974 mW   1048 mW     67 mW    318 mW      2 mW      2 mW      0 mW
  06:57:32   3876 mW   4212 mW      0 mW   1171 mW   1560 mW   1989 mW    476 mW    331 mW      2 mW      2 mW      0 mW
  06:57:33   4191 mW   4674 mW      0 mW   1038 mW   1548 mW   1957 mW    621 mW    328 mW      0 mW      2 mW      0 mW
  06:57:33   1495 mW   3947 mW      0 mW    896 mW   1214 mW   1516 mW    323 mW    282 mW      2 mW      2 mW      0 mW
  06:57:34    364 mW   1853 mW      0 mW    662 mW    869 mW    926 mW     35 mW    251 mW      2 mW      2 mW      0 mW
  06:57:34   1067 mW   2221 mW      0 mW    795 mW    944 mW   1019 mW    100 mW    333 mW      2 mW      2 mW      0 mW
  06:57:35   4654 mW   3111 mW      0 mW   1066 mW   1571 mW   1799 mW    552 mW    326 mW      2 mW      0 mW      0 mW
  06:57:35   5283 mW   3006 mW      0 mW    892 mW   1510 mW   1733 mW    805 mW    258 mW      2 mW      2 mW      0 mW
  06:57:35   3788 mW   2949 mW      0 mW    875 mW   1460 mW   1618 mW    602 mW    219 mW      2 mW      2 mW      0 mW
  06:57:36   4197 mW   2858 mW      0 mW    998 mW   1534 mW   1749 mW    571 mW    322 mW      0 mW      2 mW      0 mW
  06:57:36   8285 mW   3491 mW      0 mW   1038 mW   1610 mW   1907 mW   1285 mW    323 mW      2 mW      2 mW      0 mW
  06:57:37    376 mW   2642 mW      0 mW    765 mW   1020 mW   1123 mW    130 mW    293 mW      2 mW      2 mW      0 mW
  06:57:37    260 mW   1858 mW      0 mW    570 mW    711 mW    894 mW     25 mW    160 mW      2 mW      2 mW      0 mW
  06:57:38  16419 mW   3424 mW      0 mW   1091 mW   1473 mW   1835 mW   1875 mW    336 mW      2 mW      0 mW      0 mW
  06:57:38  18192 mW   3072 mW      0 mW   1127 mW   1636 mW   1957 mW   2629 mW    323 mW      2 mW      2 mW      0 mW
  06:57:38  22063 mW   3347 mW      0 mW   1165 mW   1680 mW   1994 mW   3249 mW    320 mW      2 mW      2 mW      0 mW
  06:57:39   8546 mW   2336 mW      0 mW    786 mW   1424 mW   1505 mW   1359 mW    174 mW      0 mW      2 mW      0 mW
  06:57:39   7081 mW   3129 mW      0 mW   1248 mW   1664 mW   1944 mW   1218 mW    324 mW      2 mW      2 mW      0 mW
  06:57:40   8140 mW   3312 mW      0 mW   1189 mW   1670 mW   1851 mW   1154 mW    325 mW      2 mW      2 mW      0 mW
  06:57:40   3080 mW   3190 mW      0 mW   1021 mW   1238 mW   1436 mW    683 mW    305 mW      2 mW      2 mW      0 mW
  06:57:41    335 mW   2610 mW      0 mW    831 mW    984 mW   1247 mW     35 mW    300 mW      2 mW      0 mW      0 mW
  06:57:41  12935 mW   2302 mW      0 mW   1121 mW   1371 mW   1535 mW   1227 mW    300 mW      2 mW      2 mW      0 mW
  06:57:41  40332 mW   2765 mW      0 mW   1888 mW   2454 mW   2379 mW   5370 mW    332 mW      2 mW      5 mW      0 mW
  06:57:42  40399 mW   2883 mW      0 mW   1888 mW   2486 mW   2426 mW   5283 mW    322 mW      2 mW      2 mW      0 mW
  06:57:42  41389 mW   2609 mW      0 mW   1722 mW   2454 mW   2382 mW   5374 mW    249 mW      5 mW      5 mW      0 mW
  06:57:43  40192 mW   2478 mW      0 mW   1662 mW   2390 mW   2302 mW   5249 mW    296 mW      2 mW      5 mW      0 mW
  06:57:43  41598 mW   2584 mW      0 mW   1815 mW   2496 mW   2414 mW   5416 mW    345 mW      5 mW      2 mW      0 mW
