cell_idx,sweep,m,n,k,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,square,8,8,8,253601562041125,253602344967958,5000,2958,10208,10792,32875,2625,459750
1,square,12,12,12,253603358593250,253604110660708,5000,3167,5167,11500,50958,3000,282583
2,square,16,16,16,253605124112750,253605865041875,5000,5042,5875,17958,26458,4750,499042
3,square,24,24,24,253606879027416,253607604843208,5000,5667,8292,20250,30375,5250,191083
4,square,32,32,32,253608615141958,253609317727375,5000,5250,7667,18208,32208,4792,273125
5,square,48,48,48,253610330864458,253611066143500,5000,5917,11750,22375,35917,5625,171625
6,square,64,64,64,253612078526416,253612798155625,5000,5375,19375,20042,43625,4917,281250
7,square,96,96,96,253613811689750,253614580504125,5000,7500,26083,26958,93792,6542,303375
8,square,128,128,128,253615592963541,253616349741125,5000,7333,28250,28792,80792,6917,453750
9,square,192,192,192,253617360239500,253618192834458,5000,10583,37250,38042,131250,9375,445792
10,square,256,256,256,253619206491500,253620054676083,5000,12625,45792,46375,108875,11375,320417
11,square,384,384,384,253621068073000,253622103478583,5000,22125,92417,95583,191208,20750,499542
12,square,512,512,512,253623114956500,253624240469000,5000,34375,62375,147500,175000,31750,553375
13,square,768,768,768,253625253929083,253627474716625,5000,106500,234167,430583,462083,92292,1191875
14,square,1024,1024,1024,253628488406791,253631055101583,5000,207917,275625,528000,962958,206625,1161500
15,square,1536,1536,1536,253632064902083,253636465823125,5000,674917,676250,688250,713958,673333,1141208
16,square,2048,2048,2048,253637481689833,253642503835791,2637,1566375,1609042,1930083,2065875,1562417,2120750
17,ksweep_128,128,128,2,253643512627958,253644278045000,5000,3458,11542,12000,152667,3125,480833
18,ksweep_128,128,128,4,253645292357000,253646016185000,5000,3500,11625,12375,56875,3125,505125
19,ksweep_128,128,128,16,253647029869583,253647760023250,5000,3750,12458,13125,62500,3375,278375
20,ksweep_128,128,128,64,253648771840875,253649498759958,5000,5500,13500,14417,63583,4000,283958
21,ksweep_128,128,128,256,253650512869125,253651287521208,5000,7292,26375,27208,98083,6875,301625
22,ksweep_128,128,128,1024,253652301741333,253653280738750,5000,20417,44500,79083,180875,19875,479625
23,ksweep_128,128,128,4096,253654294798708,253655355900166,5000,31875,39250,134875,169542,31417,345125
24,ksweep_512,512,512,2,253656368683458,253657127048791,5000,4625,16833,17542,74625,4250,221417
25,ksweep_512,512,512,4,253658139183375,253658897122708,5000,4875,16625,17500,88875,4250,363958
26,ksweep_512,512,512,16,253659911112291,253660676966666,5000,5292,19542,20250,82292,4875,285958
27,ksweep_512,512,512,64,253661689331750,253662509865291,5000,7875,30042,30958,81500,7375,310875
28,ksweep_512,512,512,256,253663523916041,253664489170583,5000,17792,29375,79542,146875,17417,388375
29,ksweep_512,512,512,1024,253665500495333,253667052118750,5000,59375,79125,274500,323000,58750,1049958
30,ksweep_512,512,512,4096,253668066348291,253670629313500,5000,228292,316167,447375,643542,226792,1165833
31,membound,8,4096,4096,253671639826583,253673842808833,5000,196542,215417,432417,486875,190875,909000
32,membound,4,8192,4096,253674856700958,253677728574791,5000,346792,357917,456917,678042,341750,1290625
33,membound,2,8192,4096,253678743202833,253681849511333,5000,343625,365333,591458,704542,339917,977875
