monotonic_ns,phase,target_busy_fraction
16470196232416,baseline,0.00
16480201398708,step_000pct,0.00
16488206672916,step_025pct,0.25
16496209826375,step_050pct,0.50
16504212921541,step_075pct,0.75
16512214938166,step_100pct,1.00
16520215271958,tail,0.00
16530220578708,stopped,0.00
