iso_ts,monotonic_ns,gpu_active_pct,gpu_freq_mhz,gpu_power_mw,package_power_mw,gpu_temp_c,cpu_temp_c,thermal_pressure,fan0_rpm,fan1_rpm
2026-04-28T17:05:20.084765,16526484408625,19.67,338,361,,,,Nominal,,
2026-04-28T17:05:21.095833,16527495485791,20.78,338,383,,,,Nominal,,
2026-04-28T17:05:22.109510,16528509154750,21.03,338,362,,,,Nominal,,
2026-04-28T17:05:23.120071,16529519712875,21.21,338,383,,,,Nominal,,
2026-04-28T17:05:24.125038,16530524656708,20.58,338,312,,,,Nominal,,
2026-04-28T17:05:25.139323,16531538967250,20.88,338,307,,,,Nominal,,
2026-04-28T17:05:26.148592,16532548217500,18.19,338,372,,,,Nominal,,
2026-04-28T17:05:27.162257,16533561921875,8.62,338,116,,,,Nominal,,
2026-04-28T17:05:28.177338,16534576989041,6.01,338,82,,,,Nominal,,
2026-04-28T17:05:29.189417,16535589063708,1.76,338,18,,,,Nominal,,
2026-04-28T17:05:30.201910,16536601554458,5.41,338,67,,,,Nominal,,
2026-04-28T17:05:31.212953,16537612596458,5.84,338,74,,,,Nominal,,
2026-04-28T17:05:32.223263,16538622905375,4.52,338,38,,,,Nominal,,
2026-04-28T17:05:33.234364,16539634006750,1.94,338,14,,,,Nominal,,
2026-04-28T17:05:34.245578,16540645217083,1.47,338,9,,,,Nominal,,
2026-04-28T17:05:35.256249,16541655888708,2.01,338,11,,,,Nominal,,
2026-04-28T17:05:36.262243,16542661864708,1.28,338,9,,,,Nominal,,
2026-04-28T17:05:37.223686,16543623385166,2.52,338,16,,,,Nominal,,
