attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,measured,52,28253,26390603644291,26390603698208,26390603704666,6458,10583,1959,86916,99458
0,measured,53,28253,26390607028541,26390607080250,26390607083791,3541,9958,1958,103167,115083
0,measured,54,28253,26390610712708,26390610761208,26390610767416,6208,6041,1792,91958,99791
0,measured,55,28253,26390614286916,26390614337958,26390614341916,3958,6167,1833,104083,112083
0,measured,56,28253,26390617883208,26390617940250,26390617946708,6458,7208,2209,101875,111292
0,measured,57,28253,26390621439083,26390621495958,26390621502250,6292,6833,2042,91208,100083
0,measured,58,28253,26390625089875,26390625145250,26390625151375,6125,6875,2458,89667,99000
0,measured,59,28253,26390628609166,26390628664166,26390628670375,6209,8958,2083,89292,100333
0,measured,60,28253,26390632121333,26390632177250,26390632183833,6583,7209,2166,93209,102584
0,measured,61,28253,26390635750208,26390635825000,26390635841666,16666,7333,2208,146917,156458
0,measured,62,28253,26390639295208,26390639347125,26390639353416,6291,7542,2208,90375,100125
0,measured,63,28253,26390642933541,26390642985625,26390642992000,6375,6875,2083,93417,102375
0,measured,64,28253,26390646457291,26390646510041,26390646516583,6542,6625,2125,87083,95833
0,measured,65,28253,26390649988291,26390650043333,26390650049583,6250,7875,2708,94458,105041
0,measured,66,28253,26390653596666,26390653654625,26390653660958,6333,7834,3250,109833,120917
0,measured,67,28253,26390657109791,26390657164666,26390657171125,6459,7542,2666,90000,100208
0,measured,68,28253,26390660710500,26390660761583,26390660768041,6458,7083,2417,90167,99667
0,measured,69,28253,26390664383125,26390664442000,26390664448250,6250,12708,2750,92542,108000
0,measured,70,28253,26390668009291,26390668059666,26390668066083,6417,6750,2208,89792,98750
0,measured,71,28253,26390671539125,26390671595416,26390671602208,6792,6333,1917,94583,102833
0,measured,72,28253,26390675128083,26390675181000,26390675187458,6458,7500,2834,90375,100709
0,measured,73,28253,26390678612708,26390678665125,26390678671166,6041,6958,2125,90375,99458
0,measured,74,28253,26390682303250,26390682355458,26390682361625,6167,6875,2042,86250,95167
0,measured,75,28253,26390685832250,26390685889791,26390685896166,6375,7459,2916,100500,110875
0,measured,76,28253,26390689415500,26390689468375,26390689474750,6375,7125,2334,89708,99167
0,measured,77,28253,26390692997625,26390693048958,26390693055208,6250,6875,2167,89166,98208
0,measured,78,28253,26390696482041,26390696536208,26390696542583,6375,8000,2167,87208,97375
0,measured,79,28253,26390700070708,26390700124250,26390700130833,6583,7542,2166,87125,96833
0,measured,80,28253,26390703560125,26390703614083,26390703620500,6417,7541,2167,87208,96916
