axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,54,5589832709500,5589832782041,5589832788458,6417,8125,2792,119917,130834
write_tid_threadcount,32,0,55,5589833040833,5589833150625,5589833157083,6458,8167,2583,167084,177834
write_tid_threadcount,32,0,56,5589833360708,5589833434375,5589833440875,6500,10583,2792,156291,169666
write_tid_threadcount,32,0,57,5589833753041,5589833857250,5589833863875,6625,8208,2875,195917,207000
write_tid_threadcount,32,0,58,5589834182375,5589834290458,5589834297250,6792,8167,2541,196917,207625
write_tid_threadcount,32,0,59,5589834560833,5589834633500,5589834639750,6250,8208,2667,120750,131625
write_tid_threadcount,32,0,60,5589834837708,5589834950750,5589834957333,6583,8458,2917,200833,212208
write_tid_threadcount,32,0,61,5589835233041,5589835303708,5589835309875,6167,8291,2709,124875,135875
write_tid_threadcount,32,0,62,5589835513041,5589835623250,5589835629875,6625,8416,3000,197875,209291
write_tid_threadcount,32,0,63,5589835902125,5589835972041,5589835978125,6084,8042,2666,119042,129750
write_tid_threadcount,32,0,64,5589836175875,5589836286208,5589836292958,6750,7958,3084,209041,220083
write_tid_threadcount,32,0,65,5589836585333,5589836653000,5589836659208,6208,8209,2583,117125,127917
write_tid_threadcount,32,0,66,5589836855625,5589836966083,5589836972916,6833,8125,2834,191708,202667
write_tid_threadcount,32,0,67,5589837242541,5589837314125,5589837320291,6166,8583,2708,117792,129083
write_tid_threadcount,32,0,68,5589837556666,5589837752375,5589837760333,7958,8125,3458,259209,270792
write_tid_threadcount,32,0,69,5589838010500,5589838117000,5589838123500,6500,8666,3167,176208,188041
write_tid_threadcount,32,0,70,5589838342375,5589838411583,5589838418000,6417,7709,2500,118791,129000
write_tid_threadcount,32,0,71,5589838691708,5589838783875,5589838790250,6375,7875,2250,144625,154750
write_tid_threadcount,32,0,72,5589838986458,5589839057000,5589839063333,6333,7375,2500,118000,127875
write_tid_threadcount,32,0,73,5589839256333,5589839326750,5589839333000,6250,7500,2375,134000,143875
write_tid_threadcount,32,0,74,5589839615916,5589839702625,5589839708875,6250,7958,2708,142959,153625
write_tid_threadcount,32,0,75,5589839909583,5589839980583,5589839986791,6208,7458,2458,116875,126791
write_tid_threadcount,32,0,76,5589840246750,5589840350208,5589840357083,6875,7917,2750,163750,174417
write_tid_threadcount,32,0,77,5589840564208,5589840632208,5589840638333,6125,7667,2542,152583,162792
write_tid_threadcount,32,0,78,5589840948208,5589841017958,5589841024458,6500,7334,2458,119042,128834
write_tid_threadcount,32,0,79,5589841218500,5589841324125,5589841330750,6625,7500,2709,189291,199500
write_tid_threadcount,32,0,80,5589841596166,5589841665416,5589841671666,6250,7250,2458,118792,128500
write_tid_threadcount,32,0,81,5589841867208,5589841970708,5589841977625,6917,7459,2625,181916,192000
write_tid_threadcount,32,0,82,5589842247416,5589842317750,5589842324041,6291,7333,2458,116792,126583
write_tid_threadcount,32,0,83,5589842544375,5589842650250,5589842657000,6750,7667,2458,178292,188417
write_tid_threadcount,32,0,84,5589842891083,5589842959958,5589842966416,6458,7250,2459,119750,129459
write_tid_threadcount,32,0,85,5589843232125,5589843322750,5589843328958,6208,8042,2666,143084,153792
