attempt_idx,phase,idx_within_phase,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,calibration,0,5567642435083,5567654021541,5567654031041,9500,1369292,73583,10285875,11728750
0,calibration,1,5567654432333,5567654620125,5567654626916,6791,58417,14500,222083,295000
0,calibration,2,5567654763000,5567654873166,5567654879791,6625,16958,6250,155417,178625
0,calibration,3,5567654963541,5567655055833,5567655062333,6500,12042,4667,141833,158542
0,calibration,4,5567655163375,5567655289833,5567655296791,6958,23500,8542,220625,252667
0,calibration,5,5567655455916,5567655567541,5567655573708,6167,14625,5459,157833,177917
0,calibration,6,5567655661375,5567655743708,5567655750333,6625,11167,4125,132583,147875
0,calibration,7,5567655827125,5567655918666,5567655925375,6709,11083,4042,172833,187958
0,calibration,8,5567656058083,5567656185750,5567656192416,6666,20916,7459,193833,222208
0,calibration,9,5567656301083,5567656468666,5567656475125,6459,10125,4209,295041,309375
0,measured,0,5567656641500,5567656731833,5567656738625,6792,13833,5208,132042,151083
0,measured,1,5567656811541,5567656887791,5567656894208,6417,9625,4208,127042,140875
0,measured,2,5567656971208,5567657084833,5567657091625,6792,10167,4042,191958,206167
0,measured,3,5567657194125,5567657309958,5567657316416,6458,9500,3917,198333,211750
0,measured,4,5567657425916,5567657537458,5567657544083,6625,10333,4000,194625,208958
0,measured,5,5567657663291,5567657984333,5567657994041,9708,16166,4917,405375,426458
0,measured,6,5567658108666,5567658508708,5567658517333,8625,11375,4625,476792,492792
0,measured,7,5567658618833,5567658730750,5567658737166,6416,9709,4208,172833,186750
0,measured,8,5567658825791,5567659138000,5567659147375,9375,13000,4375,397583,414958
0,measured,9,5567659259375,5567659374458,5567659381333,6875,9458,3875,208333,221666
0,measured,10,5567659504458,5567659813166,5567659822333,9167,15875,4292,390417,410584
0,measured,11,5567659930416,5567660044166,5567660050750,6584,9291,3334,192541,205166
0,measured,12,5567660153458,5567660490333,5567660499708,9375,12000,4542,414958,431500
0,measured,13,5567660600375,5567660711791,5567660718583,6792,9333,3584,194750,207667
0,measured,14,5567660824416,5567661160208,5567661169208,9000,11833,4208,421750,437791
0,measured,15,5567661277375,5567661389041,5567661395583,6542,9375,3375,193667,206417
0,measured,16,5567661500875,5567661850458,5567661859833,9375,12125,4291,441042,457458
0,measured,17,5567661977166,5567662378333,5567662388166,9833,9500,3916,498209,511625
0,measured,18,5567662504250,5567662710958,5567662717375,6417,9333,3500,256917,269750
0,measured,19,5567662788791,5567662875000,5567662881458,6458,9083,3333,173500,185916
0,measured,20,5567662991125,5567663099708,5567663106708,7000,9042,3416,220209,232667
0,measured,21,5567663266833,5567663379750,5567663386166,6416,22083,9084,142333,173500
0,measured,22,5567663454875,5567663531583,5567663538083,6500,9584,3500,158458,171542
0,measured,23,5567663658041,5567663769000,5567663775541,6541,9833,3792,167333,180958
0,measured,24,5567663855250,5567663931833,5567663938458,6625,10125,3375,120000,133500
0,measured,25,5567664005666,5567664081041,5567664087375,6334,9333,3292,151291,163916
0,measured,26,5567664184666,5567664297166,5567664304125,6959,9125,3834,189166,202125
0,measured,27,5567664403416,5567664515916,5567664522375,6459,10792,3750,180583,195125
0,measured,28,5567664614291,5567664723708,5567664737041,13333,10084,3875,227833,241792
0,measured,29,5567664872291,5567664970541,5567664977041,6500,10042,7708,146334,164084
0,measured,30,5567665050125,5567665126041,5567665132666,6625,8959,3416,175250,187625
0,measured,31,5567665254125,5567665365166,5567665371708,6542,9167,3416,181417,194000
0,measured,32,5567665462875,5567665536083,5567665542833,6750,8833,3209,121333,133375
0,measured,33,5567665611916,5567665697041,5567665703833,6792,8625,3209,173041,184875
0,measured,34,5567665812000,5567665921291,5567665928083,6792,9291,3375,194625,207291
0,measured,35,5567666042458,5567666153416,5567666160000,6584,9417,3375,192458,205250
0,measured,36,5567666262416,5567666371041,5567666377958,6917,8875,3458,186708,199041
0,measured,37,5567666474750,5567666584458,5567666591166,6708,9042,3458,200583,213083
0,measured,38,5567666703250,5567666835083,5567666841875,6792,8792,3458,215708,227958
0,measured,39,5567666948375,5567667278125,5567667286833,8708,11000,4125,406833,421958
1,calibration,0,5572675209375,5572683346375,5572683357000,10625,104584,16500,8198000,8319084
1,calibration,1,5572683630791,5572684035166,5572684044625,9459,30792,8500,498958,538250
1,calibration,2,5572684196500,5572684596166,5572684703916,107750,15625,6000,611125,632750
1,calibration,3,5572684865541,5572684964000,5572685058500,94500,35708,6208,217792,259708
1,calibration,4,5572685150916,5572685238875,5572685261000,22125,12458,4917,176708,194083
1,calibration,5,5572685368250,5572685456916,5572685463041,6125,11833,4417,143166,159416
1,calibration,6,5572685548500,5572685632708,5572685639375,6667,11250,4458,138334,154042
1,calibration,7,5572685747416,5572685881583,5572685888458,6875,25292,8750,204333,238375
1,calibration,8,5572686016083,5572686128583,5572686135500,6917,16250,5834,182500,204584
1,calibration,9,5572686243750,5572686328250,5572686334375,6125,12458,4583,138000,155041
1,measured,0,5572686421041,5572686504041,5572686510625,6584,11917,4458,129334,145709
1,measured,1,5572686585625,5572686670416,5572686676875,6459,10667,4333,150667,165667
1,measured,2,5572686770250,5572686888958,5572686895500,6542,12791,4250,197917,214958
1,measured,3,5572687008583,5572687127500,5572687134208,6708,11625,4542,202125,218292
1,measured,4,5572687244750,5572687363625,5572687370458,6833,10333,4084,209000,223417
1,measured,5,5572687487708,5572687804125,5572687810750,6625,11209,4291,396875,412375
1,measured,6,5572687918833,5572688036291,5572688042875,6584,11334,4041,200292,215667
1,measured,7,5572688152958,5572688273208,5572688279833,6625,14292,4083,198458,216833
1,measured,8,5572688387791,5572688501458,5572688508375,6917,11166,4209,202833,218208
1,measured,9,5572688626666,5572688941916,5572688951208,9292,13042,4958,424417,442417
1,measured,10,5572689086166,5572689478000,5572689486750,8750,10125,3917,472750,486792
1,measured,11,5572689591000,5572689702291,5572689709083,6792,10958,3917,201375,216250
1,measured,12,5572689826541,5572689941875,5572689949208,7333,10834,4041,210334,225209
1,measured,13,5572690069666,5572690183666,5572690190375,6709,10583,4084,193208,207875
1,measured,14,5572690296000,5572690399875,5572690406291,6416,10833,3750,166375,180958
1,measured,15,5572690503416,5572690584250,5572690590375,6125,9958,4083,127875,141916
1,measured,16,5572690666041,5572690778125,5572690784916,6791,9792,3542,193208,206542
1,measured,17,5572690891958,5572691007583,5572691014208,6625,11042,4375,195500,210917
1,measured,18,5572691121000,5572691235250,5572691241958,6708,10000,4167,191458,205625
1,measured,19,5572691345208,5572691457375,5572691463833,6458,10042,4250,187458,201750
1,measured,20,5572691568625,5572691679000,5572691686041,7041,11042,4333,184792,200167
1,measured,21,5572691792416,5572691905041,5572691911833,6792,10667,3958,192375,207000
1,measured,22,5572692017083,5572692131041,5572692137666,6625,9875,4167,193541,207583
1,measured,23,5572692250916,5572692363666,5572692370000,6334,11000,4167,191750,206917
1,measured,24,5572692476666,5572692588166,5572692595000,6834,9959,4000,185291,199250
1,measured,25,5572692693708,5572692807875,5572692814500,6625,10084,4750,186166,201000
1,measured,26,5572692913625,5572693038166,5572693044833,6667,18083,4084,197208,219375
1,measured,27,5572693150750,5572693262416,5572693268750,6334,10375,4250,185208,199833
1,measured,28,5572693369083,5572693480000,5572693486833,6833,10625,4334,190208,205167
1,measured,29,5572693591083,5572693704375,5572693711208,6833,10584,4000,196500,211084
1,measured,30,5572693819291,5572693933041,5572693939541,6500,10500,4209,187208,201917
1,measured,31,5572694036041,5572694144333,5572694151041,6708,9166,3500,183625,196291
1,measured,32,5572694247333,5572694354666,5572694361583,6917,8875,3542,188292,200709
1,measured,33,5572694463000,5572694571291,5572694577833,6542,9000,3667,184166,196833
1,measured,34,5572694674875,5572694776166,5572694782666,6500,8791,3875,150834,163500
1,measured,35,5572694853166,5572694929333,5572694935416,6083,8667,3417,127291,139375
1,measured,36,5572695007208,5572695084541,5572695091000,6459,10709,3958,140875,155542
1,measured,37,5572695178041,5572695291500,5572695298083,6583,11417,3625,184750,199792
1,measured,38,5572695393083,5572695502333,5572695509041,6708,9584,3541,188250,201375
1,measured,39,5572695613125,5572695724250,5572695730750,6500,9083,3459,190125,202667
2,calibration,0,5577699534458,5577709350083,5577709360500,10417,134000,21709,9860125,10015834
2,calibration,1,5577709642750,5577710043833,5577710053041,9208,26208,7458,501959,535625
2,calibration,2,5577710203958,5577710565916,5577710575333,9417,14875,6083,450208,471166
2,calibration,3,5577710726875,5577711093875,5577711102916,9041,26875,8833,439334,475042
2,calibration,4,5577711252000,5577711603958,5577711613000,9042,28500,8834,435166,472500
2,calibration,5,5577711763500,5577712112166,5577712120875,8709,16042,5791,431542,453375
2,calibration,6,5577712245250,5577712665666,5577712674791,9125,17375,6292,495250,518917
2,calibration,7,5577712783916,5577713181541,5577713190041,8500,13291,5209,481458,499958
2,calibration,8,5577713299416,5577713686916,5577713695625,8709,11208,4333,467334,482875
2,calibration,9,5577713797750,5577713914041,5577713920500,6459,10833,4333,195875,211041
2,measured,0,5577714027000,5577714341958,5577714351208,9250,10708,4583,388500,403791
2,measured,1,5577714450208,5577714569375,5577714576083,6708,12625,4417,184416,201458
2,measured,2,5577714668083,5577714994958,5577715003916,8958,11584,5291,390542,407417
2,measured,3,5577715093125,5577715474666,5577715483625,8959,11917,4625,447541,464083
2,measured,4,5577715585375,5577715960625,5577715969166,8541,17166,6834,441250,465250
2,measured,5,5577716066416,5577716178416,5577716185125,6709,10792,4708,179792,195292
2,measured,6,5577716281875,5577716606750,5577716616083,9333,13875,4958,400875,419708
2,measured,7,5577716732375,5577717129583,5577717138333,8750,12375,5292,483125,500792
2,measured,8,5577717251250,5577717365625,5577717372375,6750,10875,4416,171375,186666
2,measured,9,5577717456541,5577717742083,5577717751333,9250,13709,4875,364916,383500
2,measured,10,5577717859833,5577717980416,5577717987125,6709,11125,4334,207583,223042
2,measured,11,5577718104166,5577718412833,5577718421916,9083,13458,4834,386541,404833
2,measured,12,5577718535666,5577718650500,5577718657166,6666,11334,4333,199792,215459
2,measured,13,5577718775666,5577719104500,5577719113375,8875,31500,4459,391833,427792
2,measured,14,5577719220875,5577719335125,5577719341833,6708,10625,3875,201666,216166
2,measured,15,5577719457333,5577719791875,5577719800916,9041,13417,5375,417166,435958
2,measured,16,5577719909791,5577720025250,5577720032583,7333,10458,3958,191917,206333
2,measured,17,5577720135458,5577720468333,5577720477833,9500,13750,4750,418875,437375
2,measured,18,5577720590083,5577720705583,5577720712416,6833,10125,4000,191709,205834
2,measured,19,5577720813750,5577721201416,5577721209916,8500,12417,4833,454583,471833
2,measured,20,5577721302791,5577721413625,5577721420458,6833,10709,4041,185000,199750
2,measured,21,5577721517458,5577721629916,5577721636416,6500,10292,3875,184125,198292
2,measured,22,5577721729791,5577721840833,5577721847666,6833,10250,3875,182875,197000
2,measured,23,5577721948958,5577722061125,5577722067625,6500,10709,4291,182334,197334
2,measured,24,5577722159958,5577722268375,5577722275291,6916,10292,4000,174791,189083
2,measured,25,5577722367916,5577722479166,5577722486041,6875,10333,4125,212958,227416
2,measured,26,5577722611208,5577722723541,5577722730000,6459,10959,4083,191792,206834
2,measured,27,5577722834041,5577722947583,5577722954041,6458,11333,5000,181583,197916
2,measured,28,5577723046291,5577723157333,5577723164125,6792,10250,3791,180959,195000
2,measured,29,5577723257583,5577723369125,5577723375875,6750,11334,4208,181083,196625
2,measured,30,5577723468791,5577723570125,5577723576791,6666,10416,3709,168833,182958
2,measured,31,5577723667458,5577723999166,5577724008166,9000,10583,4417,415833,430833
2,measured,32,5577724116000,5577724211833,5577724241041,29208,10250,3917,174916,189083
