axis,complexity_level,sweep_idx,probe_idx_within_burst,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,0,135233308747333,135233314951791,135233314969416,17625,345000,69292,6059458,6473750
write_tid_threadcount,32,0,1,135233315378041,135233315701208,135233315709541,8333,54792,20208,414250,489250
write_tid_threadcount,32,0,2,135233315937750,135233316145291,135233316153583,8292,36084,13708,309875,359667
write_tid_threadcount,32,0,3,135233316340875,135233316512458,135233316519708,7250,25875,10708,253375,289958
write_tid_threadcount,32,0,4,135233316691250,135233316939291,135233316947833,8542,35458,21084,335041,391583
write_tid_threadcount,32,0,5,135233317120875,135233317296458,135233317304708,8250,24292,12625,281791,318708
write_tid_threadcount,32,0,6,135233317471625,135233317628375,135233317635625,7250,21833,8833,244875,275541
write_tid_threadcount,32,0,7,135233317782083,135233318023833,135233318032333,8500,21416,9750,359625,390791
write_tid_threadcount,32,0,8,135233318203666,135233318362208,135233318369916,7708,21042,8333,258584,287959
write_tid_threadcount,32,0,9,135233318522000,135233318739416,135233318747916,8500,20375,7750,331667,359792
write_tid_threadcount,64,0,0,135235524816125,135235530213000,135235530228791,15791,374625,71500,6904875,7351000
write_tid_threadcount,64,0,1,135235532440416,135235533091291,135235533107250,15959,96500,24500,734459,855459
write_tid_threadcount,64,0,2,135235533374000,135235533634083,135235533643958,9875,44333,17292,332500,394125
write_tid_threadcount,64,0,3,135235533825666,135235534012333,135235534020833,8500,38375,14250,247417,300042
write_tid_threadcount,64,0,4,135235534177708,135235534419916,135235534429500,9584,35542,13333,324167,373042
write_tid_threadcount,64,0,5,135235534602250,135235534776625,135235534785166,8541,33875,13166,433792,480833
write_tid_threadcount,64,0,6,135235535147166,135235535426750,135235535435708,8958,66959,17458,324458,408875
write_tid_threadcount,64,0,7,135235535609166,135235535842666,135235535852375,9709,34084,14000,352083,400167
write_tid_threadcount,64,0,8,135235536066875,135235536312666,135235536322083,9417,42709,16916,315209,374834
write_tid_threadcount,64,0,9,135235536497125,135235536738500,135235536748208,9708,40083,15000,312500,367583
write_tid_threadcount,96,0,0,135237749521708,135237756604000,135237756619500,15500,300750,46333,7744708,8091791
write_tid_threadcount,96,0,1,135237757823333,135237758233583,135237758243166,9583,83375,20833,446458,550666
write_tid_threadcount,96,0,2,135237758417375,135237758587583,135237758596208,8625,25459,10375,235541,271375
write_tid_threadcount,96,0,3,135237758723833,135237758879375,135237758888041,8666,22958,8709,273750,305417
write_tid_threadcount,96,0,4,135237759083833,135237759328125,135237759337750,9625,36000,13375,340042,389417
write_tid_threadcount,96,0,5,135237759547291,135237759808875,135237759818541,9666,45959,16041,340584,402584
write_tid_threadcount,96,0,6,135237760009125,135237760239541,135237760249416,9875,38583,14250,316000,368833
write_tid_threadcount,96,0,7,135237760434000,135237760679458,135237760689208,9750,35000,14291,332167,381458
write_tid_threadcount,96,0,8,135237760868375,135237761117833,135237761127333,9500,41875,14166,327709,383750
write_tid_threadcount,96,0,9,135237761306041,135237761537166,135237761546958,9792,34084,14541,321875,370500
write_tid_threadcount,128,0,0,135239906282916,135239908947708,135239908959875,12167,148916,23000,2780042,2951958
write_tid_threadcount,128,0,1,135239909387166,135239909678583,135239909686791,8208,75791,26000,315292,417083
write_tid_threadcount,128,0,2,135239909857166,135239910473291,135239910481250,7959,42333,13583,669917,725833
write_tid_threadcount,128,0,3,135239910636541,135239910790083,135239910798166,8083,34209,12916,218000,265125
write_tid_threadcount,128,0,4,135239910943916,135239911136666,135239911144958,8292,27833,10750,258917,297500
write_tid_threadcount,128,0,5,135239911289666,135239911458291,135239911466458,8167,30541,11625,330334,372500
write_tid_threadcount,128,0,6,135239911767875,135239911967958,135239911976125,8167,62375,12541,227042,301958
