warmup_kind,K,sleep_s,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
same,0,0.0,0,4666739592750,4666739684083,4666739690666,6583,13083,4792,149791,167666
same,0,0.0,1,4666739787875,4666739878583,4666739884958,6375,11792,4833,152792,169417
same,0,0.0,2,4666739981875,4666740072416,4666740078625,6209,11875,4292,151375,167542
same,0,0.0,3,4666740170083,4666740275125,4666740285000,9875,11584,5708,194958,212250
same,0,0.0,4,4666740407750,4666740533041,4666740539916,6875,11750,5333,208375,225458
same,0,0.0,5,4666740653500,4666740774125,4666740780541,6416,11667,4583,196958,213208
same,0,0.0,6,4666740888333,4666741005500,4666741012458,6958,12667,4125,180792,197584
same,0,0.0,7,4666741101750,4666741183166,4666741189458,6292,9208,3625,248459,261292
same,0,0.0,8,4666741379291,4666741456666,4666741463125,6459,9084,3833,120917,133834
same,0,0.0,9,4666741528791,4666741615083,4666741622000,6917,9125,3625,161084,173834
same,0,0.0,10,4666741723291,4666741834458,4666741841541,7083,10375,4042,181500,195917
same,0,0.0,11,4666741935125,4666742049541,4666742056041,6500,9208,3750,191750,204708
same,0,0.0,12,4666742155958,4666742271500,4666742278083,6583,9500,4209,194833,208542
same,0,0.0,13,4666742380375,4666742495666,4666742502750,7084,9792,3833,206000,219625
same,0,0.0,14,4666742616500,4666742736166,4666742743083,6917,9792,3958,212042,225792
same,0,0.0,15,4666742861583,4666742980750,4666742987416,6666,9750,3875,208917,222542
same,0,0.0,16,4666743100250,4666743220166,4666743227166,7000,9833,3709,211083,224625
same,0,0.0,17,4666743341708,4666743461750,4666743468833,7083,10709,3791,210375,224875
same,0,0.0,18,4666743583083,4666743710958,4666743717916,6958,9875,4667,212583,227125
same,0,0.0,19,4666743826750,4666743945875,4666743952750,6875,9291,3792,210333,223416
same,0,0.0,20,4666744078583,4666744206208,4666744213250,7042,14917,5458,215000,235375
same,0,0.0,21,4666744330708,4666744445291,4666744452041,6750,9875,3625,178458,191958
same,0,0.0,22,4666744540291,4666744625416,4666744631833,6417,9666,3709,141125,154500
same,0,0.0,23,4666744711791,4666744808541,4666744815500,6959,9625,3542,186792,199959
same,0,0.0,24,4666744932125,4666745050125,4666745057250,7125,9917,3958,223833,237708
same,0,0.0,25,4666745191666,4666745322791,4666745329916,7125,11167,4250,223166,238583
same,0,0.0,26,4666745452833,4666745584875,4666745591666,6791,12917,3125,185833,201875
same,0,0.0,27,4666745670041,4666745763875,4666745770500,6625,9250,7542,146792,163584
same,0,0.0,28,4666745849375,4666745938583,4666745945166,6583,9458,7500,188625,205583
same,0,0.0,29,4666746070000,4666746206833,4666746213833,7000,11041,3917,239625,254583
