warmup_kind,K,sleep_s,probe_idx_within_burst,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
same,0,0.0,0,4666725894708,4666736742500,4666736752041,9541,1238542,62833,9704833,11006208
same,0,0.0,1,4666737130625,4666737339333,4666737479083,139750,44625,14750,376666,436041
same,0,0.0,2,4666737602291,4666737698416,4666737705416,7000,19583,7500,140333,167416
same,0,0.0,3,4666737797166,4666737947500,4666737954666,7166,20209,6583,223625,250417
same,0,0.0,4,4666738095750,4666738229041,4666738235666,6625,24542,8250,196833,229625
same,0,0.0,5,4666738371125,4666738513708,4666738520333,6625,24875,8791,206250,239916
same,0,0.0,6,4666738646416,4666738751000,4666738757708,6708,15250,7584,153208,176042
same,0,0.0,7,4666738850166,4666738951000,4666738958208,7208,12459,7708,157375,177542
same,0,0.0,8,4666739049458,4666739188666,4666739195791,7125,12959,7750,236958,257667
same,0,0.0,9,4666739325125,4666739442208,4666739448541,6333,11667,5375,180541,197583
same,1,0.0,0,4667758528958,4667759242083,4667759252416,10333,75333,19125,812709,907167
same,1,0.0,1,4667759504958,4667759680291,4667759688916,8625,18833,10125,264542,293500
same,1,0.0,2,4667759845166,4667760018500,4667760025916,7416,27375,11000,248541,286916
same,1,0.0,3,4667760160875,4667760276625,4667760283083,6458,18083,9958,176750,204791
same,1,0.0,4,4667760386916,4667760487875,4667760494375,6500,14000,5750,167958,187708
same,1,0.0,5,4667760600291,4667760715625,4667760721958,6333,15250,6666,174584,196500
same,1,0.0,6,4667760815791,4667760911041,4667760917625,6584,12792,5875,157792,176459
same,1,0.0,7,4667761011166,4667761148791,4667761155791,7000,12750,7709,227166,247625
same,1,0.0,8,4667761286750,4667761403458,4667761409791,6333,13833,9042,176791,199666
same,1,0.0,9,4667761505416,4667761608875,4667761615083,6208,12417,5667,165958,184042
same,5,0.0,0,4668785189791,4668785951916,4668785964083,12167,76583,19584,863375,959542
same,5,0.0,1,4668786239000,4668786423500,4668786431750,8250,32541,13292,278000,323833
same,5,0.0,2,4668786609500,4668786786291,4668786794708,8417,29208,11209,270875,311292
same,5,0.0,3,4668786948125,4668787084250,4668787090791,6541,16916,9125,207417,233458
same,5,0.0,4,4668787237875,4668787437250,4668787443958,6708,38083,13500,262833,314416
same,5,0.0,5,4668787609708,4668787751250,4668787757416,6166,32458,17000,166542,216000
